voltage,current,HTL
1.919999957,-682.7032271,NiOx
1.899999976,-663.5714907,NiOx
1.879999995,-644.4558255,NiOx
1.860000014,-625.3808614,NiOx
1.840000033,-606.3682112,NiOx
1.820000052,-587.3984788,NiOx
1.799999952,-568.5164909,NiOx
1.779999971,-549.7113486,NiOx
1.75999999,-530.9983842,NiOx
1.74000001,-512.3610339,NiOx
1.720000029,-494.150645,NiOx
1.700000048,-475.7344415,NiOx
1.679999948,-457.489509,NiOx
1.659999967,-439.3422653,NiOx
1.639999986,-421.3222048,NiOx
1.620000005,-403.4681507,NiOx
1.600000024,-385.7637548,NiOx
1.580000043,-368.2362023,NiOx
1.559999943,-350.8723472,NiOx
1.539999962,-333.7037465,NiOx
1.519999981,-316.7295074,NiOx
1.5,-300.2727143,NiOx
1.480000019,-283.7377516,NiOx
1.460000038,-267.4444094,NiOx
1.440000057,-251.4067114,NiOx
1.419999957,-235.6480561,NiOx
1.399999976,-220.1738621,NiOx
1.379999995,-204.9942586,NiOx
1.360000014,-190.15184,NiOx
1.340000033,-175.6232232,NiOx
1.320000052,-162.0219728,NiOx
1.299999952,-147.6295908,NiOx
1.279999971,-134.3545958,NiOx
1.25999999,-121.3705198,NiOx
1.24000001,-108.9243249,NiOx
1.220000029,-97.00719821,NiOx
1.200000048,-85.63793549,NiOx
1.179999948,-74.85995485,NiOx
1.159999967,-64.70803079,NiOx
1.139999986,-55.2323008,NiOx
1.120000005,-46.45757192,NiOx
1.100000024,-38.43810332,NiOx
1.080000043,-31.34668805,NiOx
1.059999943,-24.92407783,NiOx
1.039999962,-19.35844025,NiOx
1.019999981,-15.42732766,NiOx
1.0,-10.8267933,NiOx
0.980000019,-7.608216083,NiOx
0.959999979,-5.211522861,NiOx
0.939999998,-3.45208278,NiOx
0.920000017,-2.19810985,NiOx
0.899999976,-1.322792305,NiOx
0.879999995,-0.691718736,NiOx
0.860000014,-0.364654008,NiOx
0.839999974,-0.182282371,NiOx
0.819999993,-0.080952973,NiOx
0.800000012,-0.04088217,NiOx
0.779999971,-0.021466685,NiOx
0.75999999,-0.011181579,NiOx
0.74000001,-0.005509688,NiOx
0.720000029,-0.002350644,NiOx
0.699999988,-0.000432207,NiOx
0.680000007,0.000783181,NiOx
0.660000026,0.00158013,NiOx
0.639999986,0.002105485,NiOx
0.620000005,0.002487218,NiOx
0.600000024,0.002771667,NiOx
0.579999983,0.002981674,NiOx
0.560000002,0.003157421,NiOx
0.540000021,0.00329247,NiOx
0.519999981,0.003402103,NiOx
0.5,0.003489806,NiOx
0.479999989,0.003566075,NiOx
0.460000008,0.003628432,NiOx
0.439999998,0.003676429,NiOx
0.419999987,0.003709514,NiOx
0.400000006,0.003749332,NiOx
0.379999995,0.003778889,NiOx
0.360000014,0.003802835,NiOx
0.340000004,0.003825846,NiOx
0.319999993,0.003846783,NiOx
0.300000012,0.003864927,NiOx
0.280000001,0.003882792,NiOx
0.25999999,0.003900556,NiOx
0.239999995,0.003918989,NiOx
0.219999999,0.003934752,NiOx
0.200000003,0.003959117,NiOx
0.180000007,0.003981332,NiOx
0.159999996,0.004005725,NiOx
0.140000001,0.004031851,NiOx
0.119999997,0.004056811,NiOx
0.100000001,0.004083907,NiOx
0.079999998,0.004110187,NiOx
0.059999999,0.004136868,NiOx
0.039999999,0.004159595,NiOx
0.02,0.004189226,NiOx
0.0,0.004212262,NiOx
-0.02,0.00421705,NiOx
-0.039999999,0.004267946,NiOx
-0.059999999,0.004293485,NiOx
-0.079999998,0.004317014,NiOx
-0.100000001,0.004341516,NiOx
-0.119999997,0.004367431,NiOx
-0.140000001,0.004386427,NiOx
-0.159999996,0.004412085,NiOx
-0.180000007,0.004434377,NiOx
-0.200000003,0.004454689,NiOx
-0.219999999,0.00447599,NiOx
-0.239999995,0.004502196,NiOx
-0.25999999,0.004523841,NiOx
-0.280000001,0.004545323,NiOx
-0.300000012,0.004563544,NiOx
-0.319999993,0.004589049,NiOx
-0.340000004,0.004610931,NiOx
-0.360000014,0.004633355,NiOx
-0.379999995,0.004654484,NiOx
-0.400000006,0.004676008,NiOx
-0.419999987,0.004700198,NiOx
-0.439999998,0.004722726,NiOx
-0.460000008,0.004748105,NiOx
-0.479999989,0.004772651,NiOx
-0.5,0.004799183,NiOx
-0.519999981,0.004833401,NiOx
-0.540000021,0.004880378,NiOx
-0.560000002,0.004949333,NiOx
-0.579999983,0.005066928,NiOx
-0.600000024,0.00523602,NiOx
-0.620000005,0.005763404,NiOx
-0.639999986,0.006326284,NiOx
-0.660000026,0.006441336,NiOx
-0.680000007,0.006781525,NiOx
-0.699999988,0.0072436,NiOx
-0.720000029,0.00764894,NiOx
-0.74000001,0.008547024,NiOx
-0.75999999,0.009183031,NiOx
-0.779999971,0.009813916,NiOx
-0.800000012,0.010220657,NiOx
-0.819999993,0.010789517,NiOx
-0.839999974,0.011193733,NiOx
-0.860000014,0.012034279,NiOx
-0.879999995,0.012902332,NiOx
-0.899999976,0.013458858,NiOx
-0.920000017,0.019239773,NiOx
-0.939999998,0.022869962,NiOx
-0.959999979,0.022725393,NiOx
-0.980000019,0.025583039,NiOx
-1.0,0.025813023,NiOx
-1.019999981,0.027061661,NiOx
-1.039999962,0.031831762,NiOx
-1.059999943,0.034155878,NiOx
-1.080000043,0.038831049,NiOx
-1.100000024,0.042963823,NiOx
-1.120000005,0.044450889,NiOx
-1.139999986,0.049089563,NiOx
-1.159999967,0.054419616,NiOx
-1.179999948,0.067592511,NiOx
-1.200000048,0.07796753,NiOx
-1.220000029,0.087455357,NiOx
-1.24000001,0.103335194,NiOx
-1.25999999,0.116867108,NiOx
-1.279999971,0.129995009,NiOx
-1.299999952,0.172780888,NiOx
-1.320000052,0.216507138,NiOx
-1.340000033,0.188171868,NiOx
-1.360000014,0.180208032,NiOx
-1.379999995,0.200189811,NiOx
-1.399999976,0.215852993,NiOx
-1.419999957,0.240172385,NiOx
-1.440000057,0.254312728,NiOx
-1.460000038,0.269885683,NiOx
-1.480000019,0.249565602,NiOx
-1.5,0.263329444,NiOx
-1.519999981,0.31066992,NiOx
-1.539999962,0.343746484,NiOx
-1.559999943,0.400710918,NiOx
-1.580000043,0.423795246,NiOx
-1.600000024,0.448601512,NiOx
-1.620000005,0.51557159,NiOx
-1.639999986,0.582793141,NiOx
-1.659999967,0.738078251,NiOx
-1.679999948,0.733033788,NiOx
-1.700000048,0.795328252,NiOx
-1.720000029,0.805302868,NiOx
-1.74000001,0.904659858,NiOx
-1.75999999,1.053175382,NiOx
-1.779999971,1.345757151,NiOx
-1.799999952,1.489138255,NiOx
-1.820000052,1.857525401,NiOx
-1.840000033,2.068593956,NiOx
-1.860000014,1.85094541,NiOx
-1.879999995,2.067149829,NiOx
-1.899999976,2.304579358,NiOx
-1.919999957,2.5442304,NiOx
-1.940000057,2.847345111,NiOx
-1.960000038,3.250888,NiOx
-1.980000019,3.658346678,NiOx
-2.0,3.64623756,NiOx
-2.019999981,3.90852128,NiOx
-2.039999962,4.048248049,NiOx
-2.059999943,4.541363629,NiOx
-2.079999924,4.930969631,NiOx
-2.099999905,5.004845256,NiOx
-2.119999886,5.497105039,NiOx
-2.140000105,5.778871007,NiOx
-2.160000086,6.580376547,NiOx
-2.180000067,6.92620173,NiOx
-2.200000048,7.276640712,NiOx
-2.220000029,7.516301857,NiOx
-2.24000001,7.580293243,NiOx
-2.25999999,8.126084831,NiOx
-2.279999971,8.576368713,NiOx
-2.299999952,9.059286407,NiOx
-2.319999933,9.421718091,NiOx
-2.339999914,9.979431186,NiOx
-2.359999895,10.07413457,NiOx
-2.380000114,10.86608395,NiOx
-2.400000095,11.23342047,NiOx
-2.420000076,11.78892745,NiOx
-2.440000057,12.53184866,NiOx
-2.460000038,12.95732838,NiOx
-2.480000019,13.76523051,NiOx
-2.5,14.28837018,NiOx
-2.519999981,14.20706995,NiOx
-2.539999962,14.55388563,NiOx
-2.559999943,15.13810678,NiOx
-2.579999924,16.08412848,NiOx
-2.599999905,16.53978478,NiOx
-2.619999886,16.51553768,NiOx
-2.640000105,16.99864587,NiOx
-2.660000086,17.83732302,NiOx
-2.680000067,18.69464008,NiOx
-2.700000048,19.6241231,NiOx
-2.720000029,20.7188774,NiOx
-2.74000001,20.94810013,NiOx
-2.75999999,21.85711329,NiOx
-2.779999971,22.72583906,NiOx
-2.799999952,23.04839802,NiOx
-2.819999933,24.67791812,NiOx
-2.839999914,25.91035998,NiOx
-2.859999895,26.22192395,NiOx
-2.880000114,28.42184449,NiOx
-2.900000095,29.4204301,NiOx
-2.920000076,31.08606012,NiOx
-2.940000057,32.19879625,NiOx
-2.960000038,33.63075089,NiOx
-2.980000019,36.49070012,NiOx
-3.0,37.83401364,NiOx
-3.019999981,39.70643382,NiOx
-3.039999962,41.62493139,NiOx
-3.059999943,43.83678017,NiOx
-3.079999924,45.33727168,NiOx
-3.099999905,48.03999289,NiOx
-3.119999886,50.22866636,NiOx
-3.140000105,53.63774186,NiOx
-3.160000086,56.68030344,NiOx
-3.180000067,59.12941242,NiOx
-3.200000048,61.42504175,NiOx
-3.220000029,64.80748988,NiOx
-3.24000001,69.18557573,NiOx
-3.25999999,73.13067355,NiOx
-3.279999971,76.06105309,NiOx
-3.299999952,78.72362737,NiOx
-3.319999933,82.06234952,NiOx
-3.339999914,85.51274572,NiOx
-3.359999895,90.34741824,NiOx
-3.380000114,92.81776291,NiOx
-3.400000095,97.88912221,NiOx
-3.420000076,103.7401139,NiOx
-3.440000057,108.941766,NiOx
-3.460000038,115.3415377,NiOx
-3.480000019,117.9911966,NiOx
-3.5,124.3123292,NiOx
-3.519999981,129.0661999,NiOx
-3.539999962,136.0475555,NiOx
-3.559999943,141.5450064,NiOx
-3.579999924,149.872154,NiOx
-3.599999905,152.1728748,NiOx
-3.619999886,160.895796,NiOx
-3.640000105,169.0574606,NiOx
-3.660000086,178.5879847,NiOx
-3.680000067,185.6373731,NiOx
-3.700000048,189.0878847,NiOx
-3.720000029,196.5353404,NiOx
-3.74000001,203.6726118,NiOx
-3.75999999,212.7504823,NiOx
-3.779999971,222.0956501,NiOx
-3.799999952,232.7683605,NiOx
-3.819999933,241.5006411,NiOx
-3.839999914,250.650539,NiOx
-3.859999895,261.3134744,NiOx
-3.880000114,271.5871785,NiOx
-3.900000095,283.8332545,NiOx
-3.920000076,295.0052461,NiOx
-3.940000057,306.4103609,NiOx
-3.960000038,317.5500565,NiOx
-3.980000019,330.784843,NiOx
-4.0,343.9839468,NiOx
-4.019999981,356.3988615,NiOx
-4.039999962,370.6176788,NiOx
-4.059999943,384.4449096,NiOx
-4.079999924,396.9771557,NiOx
-4.099999905,412.1030042,NiOx
-4.119999886,425.4630651,NiOx
-4.139999866,439.3831819,NiOx
-4.159999847,454.5522561,NiOx
-4.179999828,466.8884472,NiOx
-4.199999809,485.6939281,NiOx
-4.21999979,498.3048978,NiOx
-4.239999771,514.1227575,NiOx
-4.260000229,527.6562754,NiOx
-4.28000021,543.4685625,NiOx
-4.300000191,555.7660845,NiOx
-4.320000172,573.8841108,NiOx
-4.340000153,588.9640859,NiOx
-4.360000134,602.1593105,NiOx
-4.380000114,619.0862291,NiOx
-4.400000095,633.4036589,NiOx
-4.420000076,653.1843962,NiOx
-4.440000057,667.1991846,NiOx
-4.460000038,685.576134,NiOx
-4.480000019,702.1742419,NiOx
-4.5,719.4265231,NiOx
-4.519999981,738.0742795,NiOx
-4.539999962,754.9454112,NiOx
-4.559999943,772.0043467,NiOx
-4.579999924,793.1978619,NiOx
-4.599999905,812.0792956,NiOx
-4.619999886,831.8749957,NiOx
-4.639999866,852.5711692,NiOx
-4.659999847,874.9866412,NiOx
-4.679999828,893.6064426,NiOx
-4.699999809,915.2705142,NiOx
-4.71999979,937.7390023,NiOx
-4.739999771,959.4928504,NiOx
-4.760000229,982.1275911,NiOx
-4.78000021,1005.013866,NiOx
-4.800000191,1029.326773,NiOx
-4.820000172,1054.149891,NiOx
-4.840000153,1075.898197,NiOx
-4.860000134,1100.938798,NiOx
-4.880000114,1120.98751,NiOx
-4.900000095,1141.085112,NiOx
-4.920000076,1157.598308,NiOx
-4.940000057,1175.400516,NiOx
-4.960000038,1189.613515,NiOx
-4.980000019,1203.804716,NiOx
-5.0,1215.975886,NiOx
-5.019999981,1226.453003,NiOx
-5.039999962,1236.120039,NiOx
-5.059999943,1244.99054,NiOx
-5.079999924,1254.39736,NiOx
-5.099999905,1262.243991,NiOx
-5.119999886,1268.804073,NiOx
-5.139999866,1272.035655,NiOx
-5.159999847,1278.478745,NiOx
-5.179999828,1283.959416,NiOx
-5.199999809,1288.031867,NiOx
-5.21999979,1292.160227,NiOx
-5.239999771,1295.936379,NiOx
-5.260000229,1300.317689,NiOx
-5.28000021,1304.130047,NiOx
-5.300000191,1309.279075,NiOx
-5.320000172,1314.860607,NiOx
-5.340000153,1320.044856,NiOx
-5.360000134,1326.910474,NiOx
-5.380000114,1333.518708,NiOx
-5.400000095,1340.86535,NiOx
-5.420000076,1348.139456,NiOx
-5.440000057,1356.647896,NiOx
-5.460000038,1364.242563,NiOx
-5.480000019,1374.010582,NiOx
-5.5,1385.648389,NiOx
-5.519999981,1395.546454,NiOx
-5.539999962,1406.227015,NiOx
-5.559999943,1419.440774,NiOx
-5.579999924,1430.96011,NiOx
-5.599999905,1441.756186,NiOx
-5.619999886,1455.554908,NiOx
-5.639999866,1468.1523,NiOx
-5.659999847,1483.114298,NiOx
-5.679999828,1496.647261,NiOx
-5.699999809,1513.225604,NiOx
-5.71999979,1529.774513,NiOx
-5.739999771,1546.646076,NiOx
-5.760000229,1565.216863,NiOx
-5.78000021,1586.732539,NiOx
-5.800000191,1610.339919,NiOx
-5.820000172,1631.651043,NiOx
-5.840000153,1652.961058,NiOx
-5.860000134,1652.961304,NiOx
-5.880000114,1652.96192,NiOx
-5.900000095,1652.960565,NiOx
-5.920000076,1652.962166,NiOx
-5.940000057,1652.960565,NiOx
-5.960000038,1652.960689,NiOx
-5.980000019,1652.961797,NiOx
-6.0,1652.96229,NiOx
-6.019999981,1652.96192,NiOx
-6.039999962,1652.961058,NiOx
-6.059999943,1652.960812,NiOx
-6.079999924,1652.960812,NiOx
-6.099999905,1652.965861,NiOx
-6.119999886,1652.957979,NiOx
-6.139999866,1652.958965,NiOx
-6.159999847,1652.958718,NiOx
-6.179999828,1652.958718,NiOx
-6.199999809,1652.960689,NiOx
-6.21999979,1652.957979,NiOx
-6.239999771,1652.960073,NiOx
-6.260000229,1652.960073,NiOx
-6.28000021,1652.959703,NiOx
-6.300000191,1652.960442,NiOx
-6.320000172,1652.959457,NiOx
-6.340000153,1652.958595,NiOx
-6.360000134,1652.958965,NiOx
-6.380000114,1652.959088,NiOx
-6.400000095,1652.959457,NiOx
-6.420000076,1652.959703,NiOx
-6.440000057,1652.959088,NiOx
-6.460000038,1652.959703,NiOx
-6.480000019,1652.958472,NiOx
-6.5,1652.95995,NiOx
-6.519999981,1652.957979,NiOx
-6.539999962,1653.293071,NiOx
-6.559999943,1652.958841,NiOx
-6.579999924,1652.959457,NiOx
-6.599999905,1652.958349,NiOx
-6.619999886,1652.958595,NiOx
-6.639999866,1652.957856,NiOx
-6.659999847,1652.958472,NiOx
-6.679999828,1652.957856,NiOx
-6.699999809,1652.957364,NiOx
-6.71999979,1652.959457,NiOx
-6.739999771,1652.95761,NiOx
-6.760000229,1652.957733,NiOx
-6.78000021,1652.95761,NiOx
-6.800000191,1652.957979,NiOx
-6.820000172,1652.958965,NiOx
-6.840000153,1652.95995,NiOx
-6.860000134,1652.959211,NiOx
-6.880000114,1652.958349,NiOx
-6.900000095,1652.958349,NiOx
-6.920000076,1652.958841,NiOx
-6.940000057,1652.958349,NiOx
-6.960000038,1652.958595,NiOx
-6.980000019,1652.95761,NiOx
-7.0,1652.959211,NiOx
-7.019999981,1652.956748,NiOx
-7.039999962,1652.958595,NiOx
-7.059999943,1652.958102,NiOx
-7.079999924,1652.958349,NiOx
-7.099999905,1652.958349,NiOx
-7.119999886,1652.956748,NiOx
-7.139999866,1652.957979,NiOx
-7.159999847,1652.958349,NiOx
-7.179999828,1652.957856,NiOx
-7.199999809,1652.956748,NiOx
-7.21999979,1652.956502,NiOx
-7.239999771,1652.957487,NiOx
-7.260000229,1652.958595,NiOx
-7.28000021,1652.955516,NiOx
-7.300000191,1652.957856,NiOx
-7.320000172,1652.958472,NiOx
-7.340000153,1652.958349,NiOx
-7.360000134,1652.957487,NiOx
-7.380000114,1652.957856,NiOx
-7.400000095,1652.956994,NiOx
-7.420000076,1652.956994,NiOx
-7.440000057,1652.957979,NiOx
-7.460000038,1652.957856,NiOx
-7.480000019,1652.957856,NiOx
-7.5,1652.95761,NiOx
-7.519999981,1652.957856,NiOx
-7.539999962,1652.958102,NiOx
-7.559999943,1652.958472,NiOx
-7.579999924,1652.957733,NiOx
-7.599999905,1652.957856,NiOx
-7.619999886,1652.956378,NiOx
-7.639999866,1652.955639,NiOx
-7.659999847,1652.955763,NiOx
-7.679999828,1652.956378,NiOx
-7.699999809,1652.956625,NiOx
-7.71999979,1652.957117,NiOx
-7.739999771,1652.958102,NiOx
-7.760000229,1652.957733,NiOx
-7.78000021,1652.956871,NiOx
-7.800000191,1652.957364,NiOx
-7.820000172,1652.956748,NiOx
-7.840000153,1652.956994,NiOx
-7.860000134,1652.956009,NiOx
-7.880000114,1652.955024,NiOx
-7.900000095,1652.959088,NiOx
-7.920000076,1652.956871,NiOx
-7.940000057,1652.958595,NiOx
-7.960000038,1652.956994,NiOx
-7.980000019,1652.956748,NiOx
-8.0,1652.957364,NiOx
-8.020000458,1652.95761,NiOx
-8.039999962,1652.956009,NiOx
-8.06000042,1652.955516,NiOx
-8.079999924,1652.955763,NiOx
-8.100000381,1652.956502,NiOx
-8.119999886,1652.956502,NiOx
-8.140000343,1652.956009,NiOx
-8.159999847,1652.956255,NiOx
-8.180000305,1652.956255,NiOx
-8.199999809,1652.957487,NiOx
-8.220000267,1652.956502,NiOx
-8.239999771,1652.955393,NiOx
-8.260000229,1652.956625,NiOx
-8.279999733,1652.955886,NiOx
-8.300000191,1652.957979,NiOx
-8.319999695,1652.956871,NiOx
-8.340000153,1652.956625,NiOx
-8.359999657,1652.955639,NiOx
-8.380000114,1652.956994,NiOx
-8.399999619,1652.956378,NiOx
-8.420000076,1652.957979,NiOx
-8.43999958,1652.956502,NiOx
-8.460000038,1652.957979,NiOx
-8.479999542,1652.958965,NiOx
-8.5,1652.956502,NiOx
-8.520000458,1652.956378,NiOx
-8.539999962,1652.956625,NiOx
-8.56000042,1652.957364,NiOx
-8.579999924,1652.956994,NiOx
-8.600000381,1652.956255,NiOx
-8.619999886,1652.956871,NiOx
-8.640000343,1652.95761,NiOx
-8.659999847,1652.956009,NiOx
-8.680000305,1652.956871,NiOx
-8.699999809,1652.956625,NiOx
-8.720000267,1652.956994,NiOx
-8.739999771,1652.956009,NiOx
-8.760000229,1652.956625,NiOx
-8.779999733,1652.956378,NiOx
-8.800000191,1652.956871,NiOx
-8.819999695,1652.95761,NiOx
-8.840000153,1652.957856,NiOx
-8.859999657,1652.957117,NiOx
-8.880000114,1652.956009,NiOx
-8.899999619,1652.956502,NiOx
-8.920000076,1652.957364,NiOx
-8.93999958,1652.956378,NiOx
-8.960000038,1652.954901,NiOx
-8.979999542,1652.956871,NiOx
-9.0,1652.957364,NiOx
-9.020000458,1652.956871,NiOx
-9.039999962,1652.956378,NiOx
-9.06000042,1652.954777,NiOx
-9.079999924,1652.956009,NiOx
-9.100000381,1652.956625,NiOx
-9.119999886,1652.956994,NiOx
-9.140000343,1652.955763,NiOx
-9.159999847,1652.954531,NiOx
-9.180000305,1652.956378,NiOx
-9.199999809,1652.955516,NiOx
-9.220000267,1652.956625,NiOx
-9.239999771,1652.955763,NiOx
-9.260000229,1652.956009,NiOx
-9.279999733,1652.956625,NiOx
-9.300000191,1652.956625,NiOx
-9.319999695,1652.955763,NiOx
-9.340000153,1652.956625,NiOx
-9.359999657,1652.956009,NiOx
-9.380000114,1652.956502,NiOx
-9.399999619,1652.956255,NiOx
-9.420000076,1652.955763,NiOx
-9.43999958,1652.957487,NiOx
-9.460000038,1652.95527,NiOx
-9.479999542,1652.955639,NiOx
-9.5,1652.956009,NiOx
-9.520000458,1652.955393,NiOx
-9.539999962,1652.956255,NiOx
-9.56000042,1652.955393,NiOx
-9.579999924,1652.955393,NiOx
-9.600000381,1652.954777,NiOx
-9.619999886,1652.956871,NiOx
-9.640000343,1652.955393,NiOx
-9.659999847,1652.954654,NiOx
-9.680000305,1652.95527,NiOx
-9.699999809,1652.955393,NiOx
-9.720000267,1652.954654,NiOx
