Voc_V,Jsc_mAcm2,FF,PCE_percent,Rs_ohm_cm2,Rsh_ohm_cm2,Device,Scan,File
1.1130551394149402,20.178596289077195,0.6401612832652267,14.377952200116573,8.30434426885373,4474.454511753776,device001,Reverse,device001_LIV1.csv
1.1048827032373818,20.177046982342677,0.6500509725364254,14.491761983106965,8.245943870854289,5106.92862023312,device001,Forward,device001_LIV2.csv
1.1624804379369054,20.1542077592868,0.7587659522128775,17.77703057136814,7.594257753111045,7605.3966530848975,device002,Reverse,device002_LIV1.csv
1.1443829090044504,20.051937478783174,0.7467038337228303,17.1346834681668,6.118375868727226,3341.636254933958,device002,Forward,device002_LIV2.csv
1.1524229709770295,20.797108968,0.767191963107263,18.387340494736918,5.584745057738499,8414.256138810866,device003,Reverse,device003_LIV1.csv
1.1473452226738943,20.756445842,0.7711152529773916,18.363962448528312,4.786209399784143,4110.186342640512,device003,Forward,device003_LIV2.csv
1.1625961861214822,20.171703604437727,0.7594758864891623,17.810883443410198,7.581880944302407,7279.252937442221,device004,Reverse,device004_LIV1.csv
1.144763246670514,20.071712157748866,0.7481843262117662,17.191299394629418,6.110401227357944,3240.772842783027,device004,Forward,device004_LIV2.csv
1.1699179050646937,20.25953589118731,0.7557075055016798,17.91177460049299,8.205573160392897,8596.770368299742,device005,Reverse,device005_LIV1.csv
1.149272850675365,20.152430191270657,0.748387886948142,17.333143098993894,6.452673096910172,3485.0208035781993,device005,Forward,device005_LIV2.csv
1.1742874050680283,20.28441683443012,0.7560054535735394,18.007849719790457,5.45952073019795,5343.602269890333,device006,Reverse,device006_LIV1.csv
1.162147919489147,20.177981080469213,0.7426070085540771,17.41398488768354,7.284038146089448,2943.6560330839616,device006,Forward,device006_LIV2.csv
1.1326336524037308,20.64609588954949,0.5757160704966847,13.462811146305121,10.501844974820678,3633.6862841912016,device007,Reverse,device007_LIV1.csv
1.1238734190834652,20.610881082540313,0.5771134731695468,13.36826883843242,9.684321702762107,2185.4671185019056,device007,Forward,device007_LIV2.csv
1.219799995,-1.9458410623595675e-05,-0.6064971472391957,1.439543369717e-05,202671686.05089906,2381028.8971460448,device008,Reverse,device008_LIV1.csv
-0.169799998,-5.066524233426351e-06,11.08417822864987,9.535672028684999e-06,275020293.0827634,900039.6888778186,device008,Forward,device008_LIV2.csv
1.1524229709770295,20.797108968,0.767191963107263,18.387340494736918,5.584745057738499,8414.256138810866,device009,Reverse,device009_LIV1.csv
1.1473452226738943,20.756445842,0.7711152529773916,18.363962448528312,4.786209399784143,4110.186342640512,device009,Forward,device009_LIV2.csv
0.6840691879356173,0.008917635870184177,0.5417201433492318,0.003304644517078748,15719.276196803752,347443.68641482055,device010,Reverse,device010_LIV1.csv
0.6809672463840309,0.00811213799282851,0.5079565451532027,0.002806002888870984,26103.74953696352,309545.5642276894,device010,Forward,device010_LIV2.csv
1.0999975172393923,21.11473406803446,0.7352507736454956,17.07704847079906,6.885308923387663,6698.655564995142,device011,Reverse,device011_LIV1.csv
1.1003623615889493,21.106099102277934,0.7637949935573997,17.73864764499336,6.5795984114894575,8792.64396139072,device011,Forward,device011_LIV2.csv
0.7030096425020204,0.00820925614155791,0.4674940931263858,0.002697995470652699,27673.39819017305,315932.9273566646,device012,Reverse,device012_LIV1.csv
0.6825807769945231,0.007515349515737301,0.447154459254285,0.0022938277511883698,26725.49414872544,292597.05865885445,device012,Forward,device012_LIV2.csv
1.1707774697267277,20.227763617938997,0.7548546294683625,17.87662578422043,8.303981877390381,7433.079282841333,device013,Reverse,device013_LIV1.csv
1.1485758799103356,20.122873378097744,0.7455282025471321,17.231130171461356,6.446412204222778,3236.815374806377,device013,Forward,device013_LIV2.csv
1.160892349063052,20.14370030982596,0.7594149820787973,17.758666904726258,7.21532608298211,5911.703672569327,device014,Reverse,device014_LIV1.csv
1.1436868449034092,20.05354076785978,0.7465796507383542,17.122782467112764,6.063899845348869,3221.211753298164,device014,Forward,device014_LIV2.csv
1.171567978764251,20.26329902812613,0.7529248289996232,17.874309164022762,8.432752817978942,6642.389455027491,device015,Reverse,device015_LIV1.csv
1.1496286129708873,20.14817315727934,0.7461457098223897,17.282910669511377,6.524716003302891,3077.2515660196027,device015,Forward,device015_LIV2.csv
1.1576934135588821,20.13643189151162,0.7608299404767158,17.736326494268962,7.084655102032218,6795.352768451207,device016,Reverse,device016_LIV1.csv
1.1430094033517653,20.037658902203994,0.7469366603920977,17.107264030372477,6.012889715226606,3581.1640582424816,device016,Forward,device016_LIV2.csv
1.1697014180218905,20.2076585207307,0.7553598908299961,17.854386467297815,8.16860598091648,7030.632538457586,device017,Reverse,device017_LIV1.csv
1.1476443593779504,20.09723301689631,0.7458832428366079,17.2034062359594,6.372909694930451,3101.2420438266017,device017,Forward,device017_LIV2.csv
1.1624804379369054,20.1542077592868,0.7587659522128775,17.77703057136814,7.594257753111045,7605.3966530848975,device018,Reverse,device018_LIV1.csv
1.1443829090044504,20.051937478783174,0.7467038337228303,17.1346834681668,6.118375868727226,3341.636254933958,device018,Forward,device018_LIV2.csv
1.0762323398957252,19.53879465014191,0.6509301644656779,13.687943506619673,7.730014199514711,1354.1205423812457,device019,Reverse,device019_LIV1.csv
1.0828946765513612,19.54536352134754,0.6325283012269776,13.387822105247976,8.350878271105222,1663.7374681421622,device019,Forward,device019_LIV2.csv
1.0802884706255698,19.428981060524045,0.6586102950722171,13.823508411908115,7.756428392205706,2430.67086445241,device020,Reverse,device020_LIV1.csv
