1.250000000	-43.262652518
1.219799995	-22.590442028
1.189599991	-9.359166753
1.159399986	-0.432195295
1.129150033	7.228708541
1.098950028	11.484493567
1.068750024	14.128996096
1.038550019	15.929414301
1.008350015	17.203311446
0.978150010	18.091077215
0.947899997	18.711178975
0.917699993	19.142932051
0.887499988	19.443290006
0.857299984	19.645393943
0.827099979	19.780738962
0.796899974	19.868966613
0.766650021	19.924588980
0.736450016	19.963603533
0.706250012	19.987938961
0.676050007	20.004539066
0.645850003	20.016441440
0.615649998	20.026837868
0.585399985	20.034582186
0.555199981	20.041206037
0.524999976	20.047079486
0.494800001	20.053608253
0.464599997	20.061436091
0.434399992	20.065371854
0.404150009	20.072648454
0.373950005	20.078443521
0.343750000	20.082980635
0.313549995	20.088293851
0.283349991	20.093595502
0.253149986	20.097986133
0.222900003	20.103881425
0.192699999	20.107010248
0.162499994	20.113117555
0.132300004	20.118172498
0.102100000	20.121948929
0.071900003	20.125554463
0.041650001	20.129491511
0.011450000	20.135332836
-0.018750001	20.138231655
-0.048950002	20.144359521
-0.079149999	20.147456220
-0.109399997	20.152665356
-0.139599994	20.156962186
-0.169799998	20.161076556
-0.200000003	20.164087164
Jsc:	20.135333
Eff:	17.736326
Voc:	1.159400
FF:	0.759752
V_MPP:	0.947900
	0.000000
	0.000000
	0.000000
Cell Area:	0.045300
Voltage:	0.700000
Number of suns:	1.000000
