HTL,Vbr_knee,Vbr_20mA
MeO2PACz,-3.639499903,-2.7203816738128275
NiOx,-5.299499989,-4.538829346965563
PEDOT,-10.0,-4.320927254041523
PTAA,-20.0,-15.498513686074363
polyTPD,-13.5,-11.542339999069121
