HTL,Vbr_knee_Ag,Vbr_20mA_Ag,Vbr_knee_Au,Vbr_20mA_Au,ΔVbr_knee,ΔVbr_20mA
MeO2PACz,-1.5,-0.7819245857038992,-3.639499903,-2.7203816738128275,-2.139499903,-1.9384570881089283
NiOx,-3.940000057,-2.7068669137965893,-5.299499989,-4.538829346965563,-1.3594999319999999,-1.8319624331689734
PEDOT,-3.440000057,-2.700465104836742,-10.0,-4.320927254041523,-6.559999942999999,-1.6204621492047813
polyTPD,-10.0,-6.621024429232861,-13.5,-11.54233999906912,-3.5,-4.921315569836258
PTAA,-10.0,-8.443883974548864,-20.0,-15.498513686074364,-10.0,-7.0546297115255
