HTL,Vbr_knee,Vbr_20mA
MeO2PACz,-1.5,-0.7819245857038992
NiOx,-3.940000057,-2.7068669137965893
PEDOT,-3.440000057,-2.700465104836742
polyTPD,-10.0,-6.621024429232861
PTAA,-10.0,-8.443883974548864
