Time,current denity
0,2.67890247
0.999794408,1.765350928
1.9921875,1.249833415
2.9921875,0.905270707
3.9921875,0.693720517
4.9921875,0.590052349
5.9921875,0.481307013
6.9921875,0.419410986
7.99609375,0.372603659
8.99609375,0.359910616
9.9921875,0.359352563
10.9921875,0.33173229
11.9921875,0.271332958
12.9921875,0.346938876
13.9921875,0.280751857
15.0078125,0.219285266
15.99609375,0.204597281
16.9921875,0.199299001
17.9921875,0.180411266
18.99609375,0.173479389
19.99609375,0.164872375
20.99609375,0.157043796
21.99609375,0.161326996
22.99609375,0.1610774
23.9921875,0.170511224
24.99609375,0.209459011
25.99609375,0.215315385
26.99609375,0.182102408
27.99609375,0.184006335
28.99609375,0.202626167
30.1171875,0.204582828
31.01171875,0.149599126
31.99609375,0.160238829
33,0.181698238
33.99609375,0.197474843
35,0.170945235
35.99609375,0.199452968
37,0.184022125
38,0.159150693
39,0.168518225
40.015625,0.264396414
41.01171875,0.189043536
42,0.113870683
43,0.119532878
44,0.123323289
45.00390625,0.128992443
46.00390625,0.119909519
47.00390625,0.112894316
48.00390625,0.131911532
49.00390625,0.125777324
50.00390625,0.117468755
51.00390625,0.131974176
52.00390625,0.112421973
53.0078125,0.112151427
54.0078125,0.114731447
55.0078125,0.123349635
56.0078125,0.128733122
57.01171875,0.142145596
58.0078125,0.14104903
59.0078125,0.122379333
60.01171875,0.135525794
61.01171875,0.118867753
62.01171875,0.117998766
63.01171875,0.122171985
64.01171875,0.11011511
65.01171875,0.116306925
66.01171875,0.103774108
67.01171875,0.120975462
68.01171875,0.147356438
69.01171875,0.130679853
70.015625,0.171068867
71.015625,0.157949235
72.01171875,0.144201845
73.01171875,0.144258197
74.015625,0.13289968
75.015625,0.145115538
76.01953125,0.133882359
77.01953125,0.135709314
78.01953125,0.138539763
79.015625,0.124148445
80.01953125,0.136158343
81.015625,0.135290907
82.015625,0.13759553
83.01953125,0.170809207
84.01953125,0.170733878
85.01953125,0.165247946
86.01953125,0.151122024
87.01953125,0.163892255
88.01953125,0.138345933
89.01953125,0.157463262
90.015625,0.166822858
