V,J
1.200000048,-43.736126225
1.170199990,-28.735580268
1.140450001,-19.970864713
1.110649943,-11.923574641
1.080850005,-7.140676843
1.051049948,-4.199099052
1.021299958,-2.409246566
0.991500020,-1.561511253
0.961700022,-0.802479419
0.931900024,-0.438254297
0.902149975,-0.245009099
0.872349977,-0.158922173
0.842549980,-0.084034028
0.812749982,-0.049119861
0.782999992,-0.029481517
0.753199995,-0.020709061
0.723399997,-0.011292005
0.693599999,-0.006597272
0.663850009,-0.003685996
0.634050012,-0.001687526
0.604250014,2.4089e-05
0.574450016,-5.4359e-05
0.544700027,1.3025e-05
0.514900029,2e-08
0.485100001,4.323e-06
0.455300003,-2.905e-06
0.425550014,1.5418e-05
0.395749986,-1.448e-06
0.365949988,-3.159e-06
0.336149991,1.4283e-05
0.306400001,-2.2494e-05
0.276600003,-0.745478555
0.246800005,-0.648250279
0.216999993,-0.585305737
0.187250003,-0.503401864
0.157450005,-0.436101906
0.127649993,-0.354646196
0.097850002,-0.268411923
0.068099998,-0.195263513
0.038300000,-0.107283061
0.008500000,-0.01835237
-0.021299999,0.072095801
-0.051050000,0.161697607
-0.080849998,0.255693915
-0.110650003,0.357026301
-0.140450001,0.477289087
-0.170200005,0.59455849
-0.200000003,0.687084338
Jsc:,-0.018352
Eff:,1.5e-05
Voc:,0.5149
FF:,0.00154
V_MPP:,0.60425
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
