V,J
-0.200000003,0.010103605
-0.170200005,0.009483519
-0.140450001,0.009204039
-0.110650003,0.008931678
-0.080849998,0.008658282
-0.051050000,0.008406273
-0.021299999,0.008155871
0.008500000,0.007944235
0.038300000,0.007641027
0.068099998,0.007384443
0.097850002,0.007125953
0.127649993,0.006844879
0.157450005,0.006555803
0.187250003,0.006253491
0.216999993,0.005926551
0.246800005,0.005568163
0.276600003,0.005189031
0.306400001,0.004774948
0.336149991,0.004312336
0.365949988,0.003795951
0.395749986,0.003164141
0.425550014,0.002471743
0.455300003,0.001625002
0.485100001,0.000542569
0.514900029,-0.000752147
0.544700027,-0.002432612
0.574450016,-0.004546427
0.604250014,-0.007263381
0.634050012,-0.010739632
0.663850009,-0.010720913
0.693599999,-0.014087735
0.723399997,-0.019567817
0.753199995,-0.033878259
0.782999992,-0.053729454
0.812749982,-0.0870562
0.842549980,-0.143971245
0.872349977,-0.231354391
0.902149975,-0.40748057
0.931900024,-0.705096027
0.961700022,-1.229305484
0.991500020,-1.932062764
1.021299958,-3.587138977
1.051049948,-6.167721014
1.080850005,-10.184748623
1.110649943,-16.10953039
1.140450001,-24.056432164
1.170199990,-34.924717332
1.200000048,-48.263813626
Jsc:,0.007944
Eff:,0.001463
Voc:,0.4851
FF:,0.379642
V_MPP:,0.3064
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
