V,J
1.200000048,-33.170762462
1.170199990,-22.634399734
1.140450001,-14.954462964
1.110649943,-9.07630322
1.080850005,-5.290156683
1.051049948,-3.015009068
1.021299958,-1.828937549
0.991500020,-1.002685344
0.961700022,-0.560743959
0.931900024,-0.315018387
0.902149975,-0.187769939
0.872349977,-0.101741578
0.842549980,-0.056186304
0.812749982,-0.030876216
0.782999992,-0.018450239
0.753199995,-0.008663596
0.723399997,-0.003730157
0.693599999,-0.000892921
0.663850009,0.000822473
0.634050012,0.001890116
0.604250014,0.002604855
0.574450016,0.00311681
0.544700027,0.003493614
0.514900029,0.003786701
0.485100001,0.004040979
0.455300003,0.004240067
0.425550014,0.004397863
0.395749986,0.004521345
0.365949988,0.004621959
0.336149991,0.00467128
0.306400001,0.004713166
0.276600003,0.004726288
0.246800005,0.004759257
0.216999993,0.004785145
0.187250003,0.004822603
0.157450005,0.004859324
0.127649993,0.00491176
0.097850002,0.004958055
0.068099998,0.005006699
0.038300000,0.005031662
0.008500000,0.005086206
-0.021299999,0.005108857
-0.051050000,0.005175919
-0.080849998,0.005212328
-0.110650003,0.005264684
-0.140450001,0.005300346
-0.170200005,0.005339198
-0.200000003,0.005370187
Jsc:,0.005086
Eff:,0.00196
Voc:,0.66385
FF:,0.580569
V_MPP:,0.4851
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
