V,J
-0.200000003,0.004283842
-0.170200005,0.003801376
-0.140450001,0.003694976
-0.110650003,0.003594878
-0.080849998,0.003478911
-0.051050000,0.003384049
-0.021299999,0.003289692
0.008500000,0.003246074
0.038300000,0.003087207
0.068099998,0.0029958
0.097850002,0.002905228
0.127649993,0.002808807
0.157450005,0.002713539
0.187250003,0.002627884
0.216999993,0.002540966
0.246800005,0.002449244
0.276600003,0.002353008
0.306400001,0.002267776
0.336149991,0.002176583
0.365949988,0.002083523
0.395749986,0.001988381
0.425550014,0.00188668
0.455300003,0.0017865
0.485100001,0.001663928
0.514900029,0.001529084
0.544700027,0.001369903
0.574450016,0.001167544
0.604250014,0.000920753
0.634050012,0.000572734
0.663850009,5.9211e-05
0.693599999,-0.000738873
0.723399997,-0.002063281
0.753199995,-0.004363153
0.782999992,-0.008497208
0.812749982,-0.01588621
0.842549980,-0.029014414
0.872349977,-0.051902243
0.902149975,-0.092686635
0.931900024,-0.165525797
0.961700022,-0.296087968
0.991500020,-0.534852512
1.021299958,-0.968661488
1.051049948,-1.762954411
1.080850005,-3.186842451
1.110649943,-5.779299879
1.140450001,-10.166064991
1.170199990,-17.11157977
1.200000048,-27.084718489
Jsc:,0.003246
Eff:,0.000813
Voc:,0.66385
FF:,0.377461
V_MPP:,0.4553
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
