V,J
1.200000048,-32.577776735
1.170199990,-19.251546518
1.140450001,-8.343367901
1.110649943,-3.350589725
1.080850005,2.536864132
1.051049948,5.899940075
1.021299958,8.048919373
0.991500020,9.449714359
0.961700022,10.373477647
0.931900024,10.962834711
0.902149975,11.348096185
0.872349977,11.602820876
0.842549980,11.773996372
0.812749982,11.899724919
0.782999992,11.989766902
0.753199995,12.063389957
0.723399997,12.11436342
0.693599999,12.158998288
0.663850009,12.198981683
0.634050012,12.235754019
0.604250014,12.257139231
0.574450016,12.275994402
0.544700027,12.291985447
0.514900029,12.304187212
0.485100001,12.315163146
0.455300003,12.327714414
0.425550014,12.334457765
0.395749986,12.336637019
0.365949988,12.343418918
0.336149991,12.349066218
0.306400001,12.348703865
0.276600003,12.355141401
0.246800005,12.357030259
0.216999993,12.360888926
0.187250003,12.365896327
0.157450005,12.368142397
0.127649993,12.372200229
0.097850002,12.376391695
0.068099998,12.378771399
0.038300000,12.382848505
0.008500000,12.384408419
-0.021299999,12.392304359
-0.051050000,12.39709332
-0.080849998,12.401588031
-0.110650003,12.40632431
-0.140450001,12.411051594
-0.170200005,12.417676731
-0.200000003,12.424977745
Jsc:,12.384408
Eff:,10.237685
Voc:,1.08085
FF:,0.764823
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
