V,J
-0.200000003,22.354709996
-0.170200005,22.340321268
-0.140450001,22.331601683
-0.110650003,22.323429482
-0.080849998,22.315203313
-0.051050000,22.309801436
-0.021299999,22.302780539
0.008500000,22.296993181
0.038300000,22.28901372
0.068099998,22.280566542
0.097850002,22.273340055
0.127649993,22.265712667
0.157450005,22.257548175
0.187250003,22.248738645
0.216999993,22.240622981
0.246800005,22.232003621
0.276600003,22.222621009
0.306400001,22.213307783
0.336149991,22.200992944
0.365949988,22.187110481
0.395749986,22.17318433
0.425550014,22.156094663
0.455300003,22.137003065
0.485100001,22.112175506
0.514900029,22.082318702
0.544700027,22.044865349
0.574450016,21.995097156
0.604250014,21.927262745
0.634050012,21.833195053
0.663850009,21.72788159
0.693599999,21.578286616
0.723399997,21.384519352
0.753199995,21.138329215
0.782999992,20.824307237
0.812749982,20.426494495
0.842549980,19.922431571
0.872349977,19.275772727
0.902149975,18.433126247
0.931900024,17.310301753
0.961700022,15.750193812
0.991500020,13.539203439
1.021299958,10.366628289
1.051049948,5.902303717
1.080850005,3.779088376
1.110649943,-5.651756357
1.140450001,-16.233091249
1.170199990,-28.456337688
1.200000048,-43.499538424
Jsc:,22.296993
Eff:,16.81522
Voc:,1.08085
FF:,0.697736
V_MPP:,0.87235
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
