V,J
1.200000048,-34.009988438
1.170199990,-20.992685424
1.140450001,-9.624208205
1.110649943,-1.802221614
1.080850005,5.189066488
1.051049948,10.025468434
1.021299958,13.306695314
0.991500020,15.517031655
0.961700022,16.977054542
0.931900024,17.9297392
0.902149975,18.539120727
0.872349977,18.924685446
0.842549980,19.167890674
0.812749982,19.328981981
0.782999992,19.437748071
0.753199995,19.518631021
0.723399997,19.580566285
0.693599999,19.632926196
0.663850009,19.675361252
0.634050012,19.712024368
0.604250014,19.741193731
0.574450016,19.766928455
0.544700027,19.789533073
0.514900029,19.80660218
0.485100001,19.823792072
0.455300003,19.835490141
0.425550014,19.844975549
0.395749986,19.855174096
0.365949988,19.863163836
0.336149991,19.870819493
0.306400001,19.878590794
0.276600003,19.884355023
0.246800005,19.890669205
0.216999993,19.897167133
0.187250003,19.902763035
0.157450005,19.909923991
0.127649993,19.916346108
0.097850002,19.922459839
0.068099998,19.927845012
0.038300000,19.933465328
0.008500000,19.940499074
-0.021299999,19.947503268
-0.051050000,19.954278742
-0.080849998,19.961141593
-0.110650003,19.967947906
-0.140450001,19.975674234
-0.170200005,19.981922884
-0.200000003,19.988849981
Jsc:,19.940499
Eff:,16.725067
Voc:,1.11065
FF:,0.755187
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
