V,J
-0.200000003,9.78603514
-0.170200005,9.763294319
-0.140450001,9.751829466
-0.110650003,9.743599442
-0.080849998,9.729319291
-0.051050000,9.72175358
-0.021299999,9.707365494
0.008500000,9.698705659
0.038300000,9.688048389
0.068099998,9.673051243
0.097850002,9.663245244
0.127649993,9.651191889
0.157450005,9.643040247
0.187250003,9.627935809
0.216999993,9.6168937
0.246800005,9.603796334
0.276600003,9.592548635
0.306400001,9.581455771
0.336149991,9.564824827
0.365949988,9.5564586
0.395749986,9.539905395
0.425550014,9.525464627
0.455300003,9.508346692
0.485100001,9.484159031
0.514900029,9.465259531
0.544700027,9.43134361
0.574450016,9.400215361
0.604250014,9.352009652
0.634050012,9.294316608
0.663850009,9.218106976
0.693599999,9.127471351
0.723399997,9.022932705
0.753199995,8.874680491
0.782999992,8.712346649
0.812749982,8.508960344
0.842549980,8.262916048
0.872349977,7.942229742
0.902149975,7.535854178
0.931900024,6.953297002
0.961700022,6.092800815
0.991500020,4.733765971
1.021299958,2.595680532
1.051049948,0.60261308
1.080850005,-4.411514933
1.110649943,-11.007942436
1.140450001,-19.305769588
1.170199990,-29.313581056
1.200000048,-41.133634721
Jsc:,9.698706
Eff:,6.96192
Voc:,1.05105
FF:,0.682955
V_MPP:,0.84255
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
