V,J
1.200000048,-26.909296275
1.170199990,-16.050822889
1.140450001,-6.644672403
1.110649943,-0.629811348
1.080850005,4.799158038
1.051049948,8.236122535
1.021299958,10.483862116
0.991500020,12.027195842
0.961700022,13.149762064
0.931900024,14.008650151
0.902149975,14.680344714
0.872349977,15.212933247
0.842549980,15.635490027
0.812749982,15.97114521
0.782999992,16.235838445
0.753199995,16.449247261
0.723399997,16.619568273
0.693599999,16.758350499
0.663850009,16.873520717
0.634050012,16.973661022
0.604250014,17.057704918
0.574450016,17.136612919
0.544700027,17.207880683
0.514900029,17.275549338
0.485100001,17.338327521
0.455300003,17.401365261
0.425550014,17.46136027
0.395749986,17.518881774
0.365949988,17.577133123
0.336149991,17.630774117
0.306400001,17.685886364
0.276600003,17.738594493
0.246800005,17.789179905
0.216999993,17.841122212
0.187250003,17.888889757
0.157450005,17.936436293
0.127649993,17.983450865
0.097850002,18.029951462
0.068099998,18.072518865
0.038300000,18.115099119
0.008500000,18.157085731
-0.021299999,18.196507608
-0.051050000,18.237518953
-0.080849998,18.27693569
-0.110650003,18.316058177
-0.140450001,18.353571922
-0.170200005,18.390886502
-0.200000003,18.426927709
Jsc:,18.157086
Eff:,13.271002
Voc:,1.11065
FF:,0.658083
V_MPP:,0.87235
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
