V,J
1.200000048,-15.786058983
1.170199990,-5.574922887
1.140450001,0.624999619
1.110649943,4.833087772
1.080850005,7.311498981
1.051049948,8.818237049
1.021299958,9.738564415
0.991500020,10.297628439
0.961700022,10.64388821
0.931900024,10.867897117
0.902149975,11.027221636
0.872349977,11.160172816
0.842549980,11.252990264
0.812749982,11.327596295
0.782999992,11.392492055
0.753199995,11.450982402
0.723399997,11.498329772
0.693599999,11.542545751
0.663850009,11.577433084
0.634050012,11.603504463
0.604250014,11.631737105
0.574450016,11.654763182
0.544700027,11.684061038
0.514900029,11.703769407
0.485100001,11.725717422
0.455300003,11.738961271
0.425550014,11.761288342
0.395749986,11.776701165
0.365949988,11.792523883
0.336149991,11.810473173
0.306400001,11.824500833
0.276600003,11.842268947
0.246800005,11.849215318
0.216999993,11.860881264
0.187250003,11.872736096
0.157450005,11.882256196
0.127649993,11.890857567
0.097850002,11.901857915
0.068099998,11.908679648
0.038300000,11.920822305
0.008500000,11.925401822
-0.021299999,11.934488899
-0.051050000,11.945404441
-0.080849998,11.952011589
-0.110650003,11.962841041
-0.140450001,11.967268935
-0.170200005,11.975511808
-0.200000003,11.983565795
Jsc:,11.925402
Eff:,10.236228
Voc:,1.14045
FF:,0.752646
V_MPP:,0.9617
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
