V,J
1.200000048,-26.943329125
1.170199990,-15.67951198
1.140450001,-7.966214382
1.110649943,-3.545234279
1.080850005,-1.140392157
1.051049948,0.471227716
1.021299958,1.316161625
0.991500020,1.817941216
0.961700022,2.130773182
0.931900024,2.387769481
0.902149975,2.543418598
0.872349977,2.662210572
0.842549980,2.755671773
0.812749982,2.824474063
0.782999992,2.877941591
0.753199995,2.920394314
0.723399997,2.953893915
0.693599999,2.975546072
0.663850009,2.997927753
0.634050012,3.014618447
0.604250014,3.027925258
0.574450016,3.043010422
0.544700027,3.055880033
0.514900029,3.066755421
0.485100001,3.077521268
0.455300003,3.085692185
0.425550014,3.096500114
0.395749986,3.106160273
0.365949988,3.115487633
0.336149991,3.125021225
0.306400001,3.135220415
0.276600003,3.146235541
0.246800005,3.154413846
0.216999993,3.159318773
0.187250003,3.1683567
0.157450005,3.17879007
0.127649993,3.18528318
0.097850002,3.193708514
0.068099998,3.203832535
0.038300000,3.209287094
0.008500000,3.21702852
-0.021299999,3.226732367
-0.051050000,3.233409865
-0.080849998,3.239973967
-0.110650003,3.249323171
-0.140450001,3.255434333
-0.170200005,3.259631581
-0.200000003,3.268090966
Jsc:,3.217029
Eff:,2.322379
Voc:,1.05105
FF:,0.686839
V_MPP:,0.87235
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
