V,J
-0.200000003,22.449181158
-0.170200005,22.328857057
-0.140450001,22.230541362
-0.110650003,22.149731654
-0.080849998,22.075094784
-0.051050000,22.008455365
-0.021299999,21.944740462
0.008500000,21.887455386
0.038300000,21.833267009
0.068099998,21.778366777
0.097850002,21.71925452
0.127649993,21.654581055
0.157450005,21.587728336
0.187250003,21.527701203
0.216999993,21.455079116
0.246800005,21.407648224
0.276600003,21.336957397
0.306400001,21.243180101
0.336149991,21.157892386
0.365949988,21.079606294
0.395749986,21.010859577
0.425550014,20.938689788
0.455300003,20.857164369
0.485100001,20.766432374
0.514900029,20.66391108
0.544700027,20.514709297
0.574450016,20.380001608
0.604250014,20.204996999
0.634050012,19.956644312
0.663850009,19.667807105
0.693599999,19.365533308
0.723399997,19.005695605
0.753199995,18.591867404
0.782999992,18.036735931
0.812749982,17.461640386
0.842549980,16.72449754
0.872349977,15.815072868
0.902149975,14.655049438
0.931900024,13.179779484
0.961700022,11.157294556
0.991500020,8.295502058
1.021299958,4.308006485
1.051049948,0.672802982
1.080850005,-7.501714035
1.110649943,-18.253310832
1.140450001,-31.843910479
1.170199990,-50.403681434
1.200000048,-73.885520464
Jsc:,21.887455
Eff:,14.191948
Voc:,1.05105
FF:,0.616912
V_MPP:,0.81275
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
