V,J
1.200000048,-27.94230622
1.170199990,-17.597054791
1.140450001,-10.282829816
1.110649943,-5.938299309
1.080850005,-3.38771574
1.051049948,-1.943167514
1.021299958,-1.089660021
0.991500020,-0.620522336
0.961700022,-0.355193137
0.931900024,-0.198675464
0.902149975,-0.116522393
0.872349977,-0.067973385
0.842549980,-0.039678398
0.812749982,-0.023246326
0.782999992,-0.01277762
0.753199995,-0.007153424
0.723399997,-0.00382962
0.693599999,-0.001741426
0.663850009,-0.000375658
0.634050012,0.000541272
0.604250014,0.001176258
0.574450016,0.001629028
0.544700027,0.001957203
0.514900029,0.002181962
0.485100001,0.00237942
0.455300003,0.002522089
0.425550014,0.00263215
0.395749986,0.002715614
0.365949988,0.002803059
0.336149991,0.002877857
0.306400001,0.002944774
0.276600003,0.003004657
0.246800005,0.003084751
0.216999993,0.00316117
0.187250003,0.003235095
0.157450005,0.003306608
0.127649993,0.003400609
0.097850002,0.003487828
0.068099998,0.003583249
0.038300000,0.003674087
0.008500000,0.003779942
-0.021299999,0.003858606
-0.051050000,0.003993745
-0.080849998,0.004106711
-0.110650003,0.004206984
-0.140450001,0.004338555
-0.170200005,0.004455275
-0.200000003,0.004578599
Jsc:,0.00378
Eff:,0.001154
Voc:,0.66385
FF:,0.459989
V_MPP:,0.4851
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
