V,J
1.200000048,-61.552501828
1.170199990,-41.077572906
1.140450001,-27.852226974
1.110649943,-20.676705201
1.080850005,-14.637339147
1.051049948,-11.048510477
1.021299958,-8.694740438
0.991500020,-6.969879118
0.961700022,-5.834402489
0.931900024,-4.954614895
0.902149975,-4.319371756
0.872349977,-3.772823664
0.842549980,-3.345252416
0.812749982,-3.003302325
0.782999992,-2.67654999
0.753199995,-2.45301378
0.723399997,-2.297701639
0.693599999,-2.133599241
0.663850009,-1.927573835
0.634050012,-1.828752679
0.604250014,-1.684756659
0.574450016,-1.604471205
0.544700027,-1.501549813
0.514900029,-1.43252057
0.485100001,-1.311970481
0.455300003,-1.242171159
0.425550014,-1.159900718
0.395749986,-1.125193437
0.365949988,-0.991941099
0.336149991,-0.922227226
0.306400001,-0.842267423
0.276600003,-0.775370856
0.246800005,-0.713994539
0.216999993,-0.650411905
0.187250003,-0.528936339
0.157450005,-0.485585887
0.127649993,-0.400752598
0.097850002,-0.306626843
0.068099998,-0.213687025
0.038300000,-0.117853106
0.008500000,-0.020076989
-0.021299999,0.080569219
-0.051050000,0.186822559
-0.080849998,0.293951077
-0.110650003,0.405964946
-0.140450001,0.52686494
-0.170200005,0.617224102
-0.200000003,0.780569792
Jsc:,-0.020077
Eff:,-0.000171
Voc:,0.0085
FF:,1.0
V_MPP:,0.0085
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
