V,J
-0.200000003,0.002540577
-0.170200005,0.002003298
-0.140450001,0.001862413
-0.110650003,0.001752591
-0.080849998,0.00164122
-0.051050000,0.001544535
-0.021299999,0.001458164
0.008500000,0.001456495
0.038300000,0.001397932
0.068099998,0.001384168
0.097850002,0.00133315
0.127649993,0.001244273
0.157450005,0.001110798
0.187250003,0.000978675
0.216999993,0.000869705
0.246800005,0.000859872
0.276600003,0.001028064
0.306400001,0.001173279
0.336149991,0.001038448
0.365949988,0.000928693
0.395749986,0.000779693
0.425550014,0.000651476
0.455300003,0.000490369
0.485100001,0.00026557
0.514900029,2.0919e-05
0.544700027,-0.000287601
0.574450016,-0.000685249
0.604250014,-0.001206356
0.634050012,-0.001967286
0.663850009,-0.00307422
0.693599999,-0.004826404
0.723399997,-0.007791561
0.753199995,-0.013086029
0.782999992,-0.022100024
0.812749982,-0.040219781
0.842549980,-0.071000065
0.872349977,-0.125238344
0.902149975,-0.211972999
0.931900024,-0.380249777
0.961700022,-0.669868346
0.991500020,-1.183295171
1.021299958,-2.090978833
1.051049948,-3.642154853
1.080850005,-6.225382576
1.110649943,-10.184765327
1.140450001,-15.834358492
1.170199990,-23.143232346
1.200000048,-32.625748585
Jsc:,0.001456
Eff:,0.000359
Voc:,0.5149
FF:,0.479356
V_MPP:,0.3064
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
