dark,0.1Sun
0.158191842,1.610753026
0.155451214,1.611961401
0.152389949,1.616070898
0.152609293,1.614798707
0.150785,1.61327323
0.157499939,1.611819462
0.147031112,1.612898727
0.14547752,1.609479684
0.14105233,1.613104646
0.139880364,1.607510625
0.141307734,1.603544054
0.140468937,1.613059087
0.132890285,1.610079184
0.132047263,1.608551075
0.129141228,1.609776885
0.1294142,1.605449462
0.129773499,1.609025083
0.12921007,1.614277331
0.129226568,1.627184105
0.131162918,1.608354202
0.125629823,1.623844995
0.124586053,1.611906632
0.126913835,1.607282009
0.120674365,1.623388914
0.118833471,1.601556575
0.115327103,1.622483661
0.112090624,1.605926267
0.113498596,1.606740567
0.109012058,1.60606541
0.112308816,1.611501867
0.115239183,1.60665093
0.115398967,1.602513144
0.112078165,1.604872659
0.108195845,1.609658958
0.111488286,1.61404411
0.112194745,1.60926587
0.108641287,1.62262412
0.110524522,1.607579539
0.112160278,1.600957897
0.112363627,1.612673236
0.113272509,1.606474123
0.110893967,1.60469651
0.10653696,1.609100247
0.103712473,1.611259106
0.099825537,1.606052746
0.101720213,1.602545381
0.100175328,1.611806962
0.099433683,1.609320804
0.10563845,1.604997493
0.098911433,1.626204181
0.094200277,1.598581277
0.096451323,1.601300657
0.096818959,1.604927264
0.09386093,1.609129029
0.091780462,1.611710582
0.091809564,1.612060578
0.093971219,1.612803004
0.109540743,1.608782487
0.094584812,1.611154502
0.1029345,1.606584648
0.099576496,1.606277908
0.10338982,1.607307667
0.099775085,1.611588214
0.104709255,1.607040564
0.098911402,1.607362436
0.093673113,1.609273271
0.093001276,1.615740145
0.093572107,1.612534586
0.094704579,1.625087252
0.092744278,1.610506976
0.093876452,1.610083131
0.093605752,1.609176726
0.088680844,1.613035897
0.087180171,1.609046958
0.093305498,1.608705514
0.092697702,1.611748246
0.088839056,1.603175802
0.089359476,1.611806633
0.098274412,1.611841337
0.088831819,1.612293306
0.086566629,1.612186563
0.0867767,1.602436171
0.082857611,1.624848274
0.081756127,1.599845902
0.076498672,1.605750117
0.081377733,1.603496687
0.085235655,1.604979072
0.089619434,1.612597414
0.082052865,1.610451549
0.082867921,1.62431226
0.089020078,1.602497848
0.098355096,1.596651198
0.103057247,1.599412189
0.103519979,1.60554683
0.087427434,1.610886577
0.104580741,1.609268502
0.091750035,1.607424771
0.100022369,1.611200718
0.102446357,1.608485779
0.096016232,1.612805965
0.092672743,1.610376714
0.094993237,1.609981159
0.091982557,1.604410986
0.094456812,1.60736885
0.08782376,1.607699932
0.089688101,1.605577422
0.094596644,1.623679536
0.088692316,1.601115297
0.084483627,1.60148026
0.089827121,1.613037541
0.09016692,1.606283335
0.089000577,1.612420114
0.087895367,1.605118874
0.088543654,1.600364318
0.089712525,1.608884295
0.084751778,1.607710623
0.086886208,1.601564305
0.085187793,1.612773235
0.085527808,1.607748945
0.080234894,1.608871795
0.082045366,1.601968413
0.079725427,1.607404376
0.079957888,1.605633013
0.07806207,1.622868361
0.073806307,1.604379901
0.079068351,1.609845634
0.076876176,1.609187746
0.080755006,1.611163383
0.075609382,1.605287128
0.074027635,1.606709811
0.076718499,1.610336747
0.079303664,1.613576681
0.073662892,1.60433977
0.078221711,1.60956636
0.073601261,1.606932177
0.072385454,1.61124529
0.073150567,1.60826917
0.072799563,1.608425912
0.068997681,1.60677231
0.081365166,1.608613903
0.072347127,1.609168503
0.072271351,1.60828019
0.074027527,1.607746971
0.074214274,1.625109785
0.075171491,1.607210793
0.075351958,1.604212633
0.074188149,1.603135342
0.085607485,1.609454848
0.080575793,1.608786928
0.076238832,1.609162746
0.083358767,1.607856181
0.084574446,1.604222172
0.105731746,1.603158861
0.104146134,1.605078414
0.090958596,1.606231856
0.10756969,1.604923974
0.075593701,1.607975752
0.072911029,1.606796981
0.07312822,1.600877799
0.070664285,1.606722475
0.073723377,1.607964074
0.07241951,1.626440034
0.074707757,1.606664088
0.070934364,1.606334815
0.07224114,1.602403935
0.074776943,1.604440591
0.075229344,1.604175462
0.069858111,1.603910005
0.068597001,1.60596574
0.070732325,1.621573473
0.069167662,1.598397562
0.066707568,1.601484372
0.065282665,1.602491598
0.077795461,1.607618519
0.065182378,1.602461335
0.067087287,1.606572806
0.06611443,1.616058069
0.06647615,1.605494857
0.068309746,1.608879525
0.070634105,1.603357379
0.070452589,1.606307513
0.072058992,1.607105037
0.070986337,1.608232164
0.07195354,1.609176068
0.074569945,1.6089514
0.070713427,1.604520031
0.070537046,1.602614788
0.07190904,1.607606841
0.071914365,1.609945139
0.074814782,1.605198478
0.071399311,1.609967343
0.075407909,1.607572796
0.071161387,1.613474215
0.070083103,1.608368346
0.068859617,1.608186605
0.067798171,1.609353369
0.069286853,1.605649954
0.06982479,1.605627585
0.066014755,1.614213516
0.068599864,1.609643991
0.066978227,1.609270969
0.066520337,1.610660592
0.06894159,1.606041397
0.070751265,1.608538082
0.065889355,1.606717212
0.066140376,1.610163558
0.065658113,1.606816718
0.065840754,1.614250687
0.065229982,1.605457521
0.064511677,1.60918347
0.064945826,1.609338896
0.065245509,1.604854732
0.06272807,1.610195137
0.064587899,1.629373556
0.063751055,1.609739714
0.061404816,1.606772804
0.061963307,1.607730524
0.065569267,1.606524616
0.067167,1.60678333
0.063268834,1.607247634
0.066082076,1.613898388
0.064963049,1.624965872
0.063574454,1.608765053
0.060083592,1.62737259
0.05867562,1.603592409
0.058600338,1.608515056
0.057651612,1.614105294
0.060724745,1.611955151
0.06046802,1.610153032
0.055938585,1.62806255
0.05783931,1.607063919
0.057311052,1.607150925
0.059212292,1.609820634
0.058018266,1.603758197
0.056270227,1.627065192
0.056596468,1.606860796
0.055402838,1.606719844
0.056070553,1.604903415
0.058792636,1.605483015
0.058545384,1.609274752
0.072678671,1.608855512
0.057742622,1.611585089
0.058317132,1.606445669
0.059513496,1.603568232
0.05792499,1.605480383
0.057474136,1.625158139
0.056827417,1.602557387
0.057620866,1.601293749
0.058990702,1.602887153
0.057230826,1.603337149
0.052804068,1.609272284
0.055201062,1.608477227
0.054345083,1.605989095
0.053905835,1.601301315
0.054888776,1.609938067
0.05400422,1.607726412
0.05561806,1.603387148
0.051587782,1.608488247
0.050019249,1.60673366
0.051913565,1.605576764
0.054447199,1.60797312
0.05428815,1.610492502
0.062473936,1.607047965
0.051644489,1.606702574
0.050299622,1.605939589
0.050726833,1.605814261
0.04915334,1.604579077
0.049763824,1.603792243
0.04984774,1.607704538
0.050521089,1.627656469
0.051980706,1.604818548
0.052378239,1.604428256
