Voltage,Current
2,-58.37955031
1.980000019,-55.35073731
1.960000038,-52.32192431
1.940000057,-49.43992992
1.919999957,-46.70475275
1.899999976,-43.96957557
1.879999995,-41.48024883
1.860000014,-38.99092239
1.840000033,-36.6283483
1.820000052,-34.39252597
1.799999952,-32.15670364
1.779999971,-30.16323305
1.75999999,-28.16976305
1.74000001,-26.29620248
1.720000029,-24.54255134
1.700000048,-22.78890069
1.679999948,-21.23911446
1.659999967,-19.68932823
1.639999986,-18.24165085
1.620000005,-16.89608281
1.600000024,-15.55051498
1.580000043,-14.38152048
1.559999943,-13.21252598
1.539999962,-12.1334671
1.519999981,-11.1443447
1.5,-10.15522231
1.480000019,-9.312407249
1.460000038,-8.469592191
1.440000057,-7.696229094
1.419999957,-6.992317291
1.399999976,-6.288405488
1.379999995,-5.707433195
1.360000014,-5.126461049
1.340000033,-4.59911054
1.320000052,-4.125381409
1.299999952,-3.651652279
1.279999971,-3.274621261
1.25999999,-2.897590476
1.24000001,-2.558946915
1.220000029,-2.258690576
1.200000048,-1.958434425
1.179999948,-1.736071012
1.159999967,-1.5137076
1.139999986,-1.308422489
1.120000005,-1.12021576
1.100000024,-0.932009089
1.080000043,-0.791729327
1.059999943,-0.651449565
1.039999962,-0.530691751
1.019999981,-0.429456074
1,-0.328220397
0.980000019,-0.270485562
0.959999979,-0.212750727
0.939999998,-0.164841107
0.920000017,-0.126756725
0.899999976,-0.088672343
0.879999995,-0.070966597
0.860000014,-0.053260875
0.839999974,-0.039796018
0.819999993,-0.030572004
0.800000012,-0.021347994
0.779999971,-0.016567402
0.75999999,-0.011786811
0.74000001,-0.008006892
0.720000029,-0.005227647
0.699999988,-0.002448401
0.680000007,-0.001168055
0.660000026,0.000011229
0.639999986,0.001132486
0.620000005,0.001892533
0.600000024,0.002652579
0.579999983,0.003094375
0.560000002,0.003536171
0.540000021,0.003887362
0.519999981,0.004147949
0.5,0.004408535
0.479999989,0.004585605
0.460000008,0.004762674
0.439999998,0.004919062
0.419999987,0.005054769
0.400000006,0.005190475
0.379999995,0.005308205
0.360000014,0.005425936
0.340000004,0.005536841
0.319999993,0.00564092
0.300000012,0.005744999
0.280000001,0.005834278
0.25999999,0.005923557
0.239999995,0.006013296
0.219999999,0.006103494
0.200000003,0.006193693
0.180000007,0.006276159
0.159999996,0.006358626
0.140000001,0.006437649
0.119999997,0.006513229
0.100000001,0.006588809
0.079999998,0.006658997
0.059999999,0.006729184
0.039999999,0.006797568
0.02,0.006864148
0,0.006930728
-0.02,0.006987168
-0.039999999,0.007043609
-0.059999999,0.007104977
-0.079999998,0.007171271
-0.100000001,0.007237566
-0.119999997,0.00729756
-0.140000001,0.007357553
-0.159999996,0.00741268
-0.180000007,0.00746294
-0.200000003,0.0075132
-0.219999999,0.007568297
-0.239999995,0.007623394
-0.25999999,0.007675582
-0.280000001,0.00772486
-0.300000012,0.007774139
-0.319999993,0.007821517
-0.340000004,0.007868896
-0.360000014,0.007914743
-0.379999995,0.007959058
-0.400000006,0.008003373
-0.419999987,0.00804758
-0.439999998,0.008091786
-0.460000008,0.008135359
-0.479999989,0.008178299
-0.5,0.008221238
-0.519999981,0.008262691
-0.540000021,0.008304144
-0.560000002,0.008344004
-0.579999983,0.008382272
-0.600000024,0.008420539
-0.620000005,0.008459521
-0.639999986,0.008498504
-0.660000026,0.008537032
-0.680000007,0.008575107
-0.699999988,0.008613181
-0.720000029,0.008649442
-0.74000001,0.008685702
-0.75999999,0.008722367
-0.779999971,0.008759437
-0.800000012,0.008796507
-0.819999993,0.008832223
-0.839999974,0.008867938
-0.860000014,0.008903765
-0.879999995,0.008939703
-0.899999976,0.008975641
-0.920000017,0.009009789
-0.939999998,0.009043936
-0.959999979,0.009079106
-0.980000019,0.009115297
-1,0.009151489
-1.019999981,0.009186891
-1.039999962,0.009222293
-1.059999943,0.009258109
-1.080000043,0.009294341
-1.100000024,0.009330572
-1.120000005,0.009367196
-1.139999986,0.00940382
-1.159999967,0.009439988
-1.179999948,0.0094757
-1.200000048,0.009511413
-1.220000029,0.009548745
-1.24000001,0.009586077
-1.25999999,0.00962279
-1.279999971,0.009658885
-1.299999952,0.00969498
-1.320000052,0.009734425
-1.340000033,0.009773869
-1.360000014,0.009812075
-1.379999995,0.009849043
-1.399999976,0.009886011
-1.419999957,0.009923695
-1.440000057,0.009961379
-1.460000038,0.009998554
-1.480000019,0.010035221
-1.5,0.010071887
-1.519999981,0.010111258
-1.539999962,0.010150629
-1.559999943,0.010189992
-1.580000043,0.010229348
-1.600000024,0.010268704
-1.620000005,0.010313523
-1.639999986,0.010358342
-1.659999967,0.010403464
-1.679999948,0.010448888
-1.700000048,0.010494312
-1.720000029,0.010553455
-1.74000001,0.010612597
-1.75999999,0.010681568
-1.779999971,0.010760368
-1.799999952,0.010839168
-1.820000052,0.010912949
-1.840000033,0.01098673
-1.860000014,0.011005689
-1.879999995,0.010969826
-1.899999976,0.010933962
-1.919999957,0.011066368
-1.940000057,0.011198773
-1.960000038,0.011256682
-1.980000019,0.011240096
-2,0.011223509
-2.019999981,0.011377197
-2.039999962,0.011530885
-2.059999943,0.011602445
-2.079999924,0.011591879
-2.099999905,0.011581314
-2.119999886,0.011616822
-2.140000105,0.011652331
-2.160000086,0.011706638
-2.180000067,0.011779746
-2.200000048,0.011852854
-2.220000029,0.011937923
-2.24000001,0.012022991
-2.25999999,0.012075625
-2.279999971,0.012095823
-2.299999952,0.012116022
-2.319999933,0.012148311
-2.339999914,0.012180599
-2.359999895,0.012241229
-2.380000114,0.012330199
-2.400000095,0.01241917
-2.420000076,0.012534635
-2.440000057,0.012650101
-2.460000038,0.012729998
-2.480000019,0.012774326
-2.5,0.012818654
-2.519999981,0.012876474
-2.539999962,0.012934293
-2.559999943,0.013000081
-2.579999924,0.013073835
-2.599999905,0.01314759
-2.619999886,0.013294605
-2.640000105,0.01344162
-2.660000086,0.013603331
-2.680000067,0.013779738
-2.700000048,0.013956145
-2.720000029,0.014198961
-2.74000001,0.014441777
-2.75999999,0.01462803
-2.779999971,0.014757719
-2.799999952,0.014887409
-2.819999933,0.015019992
-2.839999914,0.015152575
-2.859999895,0.015441425
-2.880000114,0.015886539
-2.900000095,0.016331653
-2.920000076,0.016108098
-2.940000057,0.01588454
-2.960000038,0.015926363
-2.980000019,0.016233569
-3,0.016540775
-3.019999981,0.016984034
-3.039999962,0.017427293
-3.059999943,0.018334828
-3.079999924,0.019706634
-3.099999905,0.021078434
-3.119999886,0.021225931
-3.140000105,0.021373428
-3.160000086,0.021375163
-3.180000067,0.021231134
-3.200000048,0.021087105
-3.220000029,0.020986419
-3.24000001,0.020885733
-3.25999999,0.02081642
-3.279999971,0.020778479
-3.299999952,0.020740538
-3.319999933,0.020819106
-3.339999914,0.020897674
-3.359999895,0.021182774
-3.380000114,0.021674403
-3.400000095,0.022166031
-3.420000076,0.023214501
-3.440000057,0.024262973
-3.460000038,0.025599454
-3.480000019,0.027223948
-3.5,0.028848442
-3.519999981,0.029176154
-3.539999962,0.029503865
-3.559999943,0.030143619
-3.579999924,0.031095412
-3.599999905,0.032047206
-3.619999886,0.033033403
-3.640000105,0.0340196
-3.660000086,0.034549429
-3.680000067,0.034622883
-3.700000048,0.034696338
-3.720000029,0.034177028
-3.74000001,0.033657717
-3.75999999,0.033638911
-3.779999971,0.034120611
-3.799999952,0.03460231
-3.819999933,0.034512236
-3.839999914,0.034422163
-3.859999895,0.034744059
-3.880000114,0.035477916
-3.900000095,0.036211774
-3.920000076,0.037256988
-3.940000057,0.038302203
-3.960000038,0.040922583
-3.980000019,0.045118145
-4,0.049313707
-4.019999981,0.048414498
-4.039999962,0.047515289
-4.059999943,0.049123912
-4.079999924,0.053240465
-4.099999905,0.057356988
-4.119999886,0.055423483
-4.139999866,0.053489978
-4.159999847,0.054450097
-4.179999828,0.058303893
-4.199999809,0.06215763
-4.21999979,0.059711769
-4.239999771,0.057265908
-4.260000229,0.055951102
-4.28000021,0.055767348
-4.300000191,0.055583595
-4.320000172,0.058410674
-4.340000153,0.061237782
-4.360000134,0.063739057
-4.380000114,0.065914506
-4.400000095,0.068089954
-4.420000076,0.069571357
-4.440000057,0.071052757
-4.460000038,0.074831887
-4.480000019,0.080908661
-4.5,0.086985434
-4.519999981,0.083396759
-4.539999962,0.079808085
-4.559999943,0.079584958
-4.579999924,0.082727507
-4.599999905,0.085870057
-4.619999886,0.08897169
-4.639999866,0.092073323
-4.659999847,0.094391616
-4.679999828,0.095926554
-4.699999809,0.097461554
-4.71999979,0.105503297
-4.739999771,0.11354504
-4.760000229,0.118860149
-4.78000021,0.121448624
-4.800000191,0.1240371
-4.820000172,0.123929518
-4.840000153,0.12382191
-4.860000134,0.123673976
-4.880000114,0.123485717
-4.900000095,0.123297457
-4.920000076,0.125635634
-4.940000057,0.127973823
-4.960000038,0.128712707
-4.980000019,0.127852348
-5,0.126991989
-5.019999981,0.133131417
-5.039999962,0.139270844
-5.059999943,0.144881466
-5.079999924,0.14996326
-5.099999905,0.155045044
-5.119999886,0.157966788
-5.139999866,0.160888532
-5.159999847,0.163728363
-5.179999828,0.166486278
-5.199999809,0.169244161
-5.21999979,0.168669849
-5.239999771,0.168095536
-5.260000229,0.169933254
-5.28000021,0.174183
-5.300000191,0.178432747
-5.320000172,0.181797596
-5.340000153,0.185162436
-5.360000134,0.192536556
-5.380000114,0.20391988
-5.400000095,0.215303204
-5.420000076,0.218029535
-5.440000057,0.220755825
-5.460000038,0.223126662
-5.480000019,0.225142059
-5.5,0.227157456
-5.519999981,0.235257038
-5.539999962,0.24335662
-5.559999943,0.250265147
-5.579999924,0.255982572
-5.599999905,0.261699958
-5.619999886,0.258867486
-5.639999866,0.256035014
-5.659999847,0.257228252
