,voltage,original,-0.2 V,-0.4 V,-0.6 V,-0.8 V,-1 V
60,0,20.20655278,20.39324788,20.1814184,20.07203496,19.50274978,4.791746709
61,-0.02,20.21033327,20.39854257,20.18348942,20.10126098,19.89399933,19.01981364
62,-0.039999999,20.21084472,20.40216937,20.18544831,20.13339576,20.2598676,30.00179606
63,-0.059999999,20.21390212,20.40417362,20.18743745,20.17124976,20.6404484,30.00223294
64,-0.079999998,20.21637499,20.40688207,20.1898297,20.20531823,20.97924606,30.00220467
65,-0.100000001,20.2193694,20.40945068,20.19309747,20.25858518,21.28467441,30.0022278
66,-0.119999997,20.22199344,20.41235691,20.19505889,20.27686405,21.68930369,30.00229975
67,-0.140000001,20.22509997,20.41562216,20.19729241,20.34286573,22.12613199,30.00238456
68,-0.159999996,20.22686865,20.41743241,20.19838335,20.38570832,22.48491673,30.00228176
69,-0.180000007,20.22976983,20.41930691,20.20081465,20.47046001,27.00103556,30.00232545
70,-0.200000003,20.23163299,20.42292363,20.20178465,20.40749178,23.36365261,30.00243853
