voltage,meO2PACz,NiOx,PEDOT:PSS,PolyTPD,PTAA
0.66049999,-0.040808561,-0.005069493,-0.003567149,0.000626584,-0.001203152
0.640500009,-0.036395644,-0.001589269,-0.002712386,0.00139671,-0.000827941
0.620500028,-0.03242414,0.000465195,-0.002099888,0.001956994,-0.000560819
0.600499988,-0.028929935,0.001805848,-0.001640502,0.002377116,-0.000370486
0.580500007,-0.026398916,0.002660244,-0.001285281,0.002688777,-0.000234894
0.560500026,-0.023788605,0.003165397,-0.001002802,0.002922148,-0.00013887
0.540499985,-0.021526794,0.003417884,-0.000762301,0.003104523,-6.88E-05
0.520500004,-0.019386235,0.003460146,-0.000563661,0.003239878,-1.81E-05
0.500500023,-0.017494554,0.003407912,-0.000409677,0.003350954,2.03E-05
0.480500013,-0.015936179,0.003254159,-0.000281696,0.003437639,4.98E-05
0.460500002,-0.014075719,0.003035395,-0.000183236,0.003507664,6.99E-05
0.440499991,-0.012644281,0.002783623,-0.000103806,0.00356217,8.55E-05
0.42050001,-0.011295813,0.002521302,-4.97E-05,0.003608497,9.47E-05
0.4005,-0.009946253,0.002257643,-8.07E-06,0.003645112,0.000104439
0.380499989,-0.008802232,0.002010621,1.67E-05,0.00367574,0.000109361
0.360500008,-0.007606404,0.001780843,3.49E-05,0.003701077,0.000113004
0.340499997,-0.006356494,0.001573844,5.49E-05,0.003721528,0.000114369
0.320499986,-0.005366585,0.00138561,6.53E-05,0.003738566,0.000115326
0.300500005,-0.004303511,0.001224601,6.97E-05,0.003755786,0.000116714
0.280499995,-0.003335231,0.001079611,7.31E-05,0.003767313,0.000115329
0.260500014,-0.002349789,0.000951128,7.80E-05,0.003776832,0.000117892
0.240500003,-0.001571039,0.000846538,8.28E-05,0.003787894,0.000117791
0.220500007,-0.000696,0.000757276,8.11E-05,0.003796854,0.000117956
0.200499997,0.00011365,0.000697751,8.30E-05,0.003803975,0.000117987
0.180500001,0.000816867,0.000645671,8.56E-05,0.003810841,0.000118152
0.160500005,0.001471,0.000611301,8.84E-05,0.003817091,0.000117812
0.140499994,0.002055737,0.000576294,9.31E-05,0.003823815,0.000118498
0.120499998,0.002635348,0.000550623,9.27E-05,0.003827818,0.00011807
0.100500003,0.003180087,0.000528772,8.99E-05,0.00383282,0.000117061
0.080499999,0.003689139,0.000508682,9.44E-05,0.003839221,0.000118202
0.0605,0.004198735,0.000489439,9.91E-05,0.003843201,0.000116896
0.0405,0.004650586,0.000474365,9.87E-05,0.003847911,0.000119185
0.020500001,0.005106748,0.000458733,9.98E-05,0.003852689,0.000119823
0.0005,0.005550646,0.00044624,0.000107738,0.003856708,0.000120263
-0.0195,0.005958267,0.000401578,0.000103593,0.003849911,0.000100503
-0.039500002,0.006441814,0.000425406,0.000105117,0.003866036,0.000124391
-0.059500001,0.006917776,0.000412386,0.000109232,0.003870638,0.000125478
-0.079499997,0.007457838,0.000400971,0.000109163,0.003873122,0.000126471
-0.0995,0.00796635,0.000391755,0.000106569,0.003876322,0.000124977
-0.119499996,0.008568222,0.000382237,0.000117667,0.003880095,0.000127718
-0.139500007,0.009205989,0.000373994,0.000121501,0.003882812,0.000129409
-0.159500003,0.009819454,0.00036537,0.000125014,0.003885925,0.000132024
-0.179499999,0.010500247,0.00035817,0.000125312,0.003888344,0.000132416
-0.199499995,0.011348882,0.000350602,0.000131058,0.003891571,0.000130574
-0.219500005,0.012291424,0.000343819,0.000132733,0.003892264,0.000134706
-0.239500001,0.01337567,0.000337942,0.000138713,0.003897417,0.000135511
-0.259499997,0.014567663,0.000334628,0.000159085,0.003900351,0.000139262
-0.279500008,0.015526594,0.000325805,0.000168707,0.00390364,0.000140965
-0.299499989,0.016971757,0.000330441,0.00019055,0.003905849,0.000142269
-0.319499999,0.018667268,0.000333729,0.000241864,0.003909797,0.00014692
-0.33950001,0.020241395,0.000337343,0.000251508,0.003913018,0.000149339
-0.359499991,0.021731782,0.000343385,0.000294677,0.003914454,0.00015237
-0.379500002,0.023196564,0.000356741,0.000350178,0.003920684,0.000154977
-0.399500012,0.02484903,0.000376716,0.000423475,0.003924681,0.000158204
-0.419499993,0.026272273,0.000396581,0.000520487,0.003928403,0.000159643
-0.439500004,0.027996699,0.000420649,0.000643542,0.003931917,0.000165801
-0.459500015,0.029740035,0.000451525,0.000803174,0.003937907,0.000169242
-0.479499996,0.031107216,0.000481973,0.00100321,0.003942995,0.000174779
-0.499500006,0.032520716,0.000515713,0.001251994,0.003946951,0.000177728
-0.519500017,0.033968612,0.000552549,0.001556513,0.00395384,0.000183499
-0.539499998,0.03591501,0.000586069,0.001923969,0.003959096,0.000189156
-0.559499979,0.037266256,0.00062635,0.002353702,0.003965806,0.000195771
-0.57950002,0.038632002,0.000658691,0.002857487,0.003969837,0.000201063
-0.5995,0.039908214,0.000706998,0.003401598,0.003979299,0.000206462
-0.619499981,0.042045486,0.00075067,0.004031197,0.003985887,0.000213308
-0.639500022,0.043647463,0.000798958,0.004695604,0.003992998,0.000218554
-0.659500003,0.045342968,0.000851653,0.00543389,0.004001217,0.000227741
-0.679499984,0.04710847,0.00090209,0.006203908,0.004008771,0.000232285
-0.699500024,0.049270815,0.000953979,0.007015543,0.004016749,0.000239147
-0.719500005,0.051767477,0.001015503,0.007855575,0.004024508,0.000246921
-0.739499986,0.053719797,0.001079698,0.008736642,0.004035552,0.000253938
-0.759500027,0.056024708,0.00114205,0.009652092,0.004045488,0.000258967
-0.779500008,0.057879713,0.001207644,0.010569355,0.004054768,0.000263698
-0.799499989,0.059767474,0.001274086,0.011487002,0.004066254,0.000267705
-0.819500029,0.062139696,0.001345501,0.01245729,0.004076242,0.000272661
-0.83950001,0.064231996,0.00141032,0.013429029,0.004088929,0.000275079
-0.859499991,0.066931534,0.001478916,0.014435826,0.004100362,0.000277896
-0.879499972,0.070126041,0.00154861,0.015464678,0.00411187,0.000279744
-0.899500012,0.072685419,0.001615395,0.016519363,0.004124494,0.000280265
-0.919499993,0.074741035,0.001686392,0.017512768,0.004140034,0.00028062
-0.939499974,0.078089861,0.001763244,0.017015374,0.004152287,0.000280015
-0.959500015,0.08106524,0.001833514,0.016909989,0.004170183,0.000282259
-0.979499996,0.084314488,0.001910794,0.01801191,0.004186235,0.000283472
-0.999499977,0.086842027,0.001996698,0.018193589,0.004205741,0.000283354
-1.019500017,0.090491626,0.00207927,0.018238948,0.004222811,0.000284253
-1.039499998,0.094176681,0.002171401,0.019384416,0.004244633,0.000287005
-1.059499979,0.097765818,0.002272807,0.020531387,0.00425987,0.000288134
-1.07949996,0.10177629,0.002375092,0.022970756,0.004282532,0.000289146
-1.099499941,0.105042068,0.002493932,0.024538771,0.004304611,0.000290652
-1.119500041,0.10833038,0.002621719,0.026154759,0.004333069,0.000294189
-1.139500022,0.111527103,0.002763072,0.027753768,0.004358044,0.000296244
-1.159500003,0.11569513,0.002909143,0.029354552,0.00439325,0.000296122
-1.179499984,0.118724694,0.003070006,0.030973835,0.004438237,0.000299651
-1.199499965,0.123545482,0.003252029,0.032576583,0.004474977,0.000302951
-1.219499946,0.126396402,0.00346119,0.034186332,0.004522388,0.000305761
-1.239500046,0.131167311,0.003676967,0.035834778,0.00457789,0.000307159
-1.259500027,0.135189848,0.003906968,0.037479037,0.004635282,0.000309812
-1.279500008,0.139650912,0.004151785,0.039145893,0.004726901,0.000312446
-1.299499989,0.143143311,0.00439595,0.040851568,0.004824841,0.000314863
-1.319499969,0.147109641,0.004670678,0.042576174,0.004913469,0.000316869
-1.33949995,0.150739186,0.004964661,0.044378368,0.00500362,0.00031857
-1.359500051,0.157955583,0.005289243,0.046129747,0.005124096,0.00032026
-1.379500031,0.163206554,0.005627672,0.047840347,0.005252204,0.000320605
-1.399500012,0.169340622,0.005983118,0.049587452,0.005400597,0.000324587
-1.419499993,0.173776356,0.006358532,0.051372222,0.005604791,0.000326986
-1.439499974,0.178631705,0.006751359,0.053207943,0.00578907,0.000327797
-1.459499955,0.183812382,0.007171279,0.055045415,0.006027243,0.000329639
-1.479500055,0.189293463,0.007618103,0.056899218,0.006319569,0.00033386
-1.499500036,0.193988576,0.008058179,0.058802509,0.006674198,0.000337454
-1.519500017,0.201457782,0.008541927,0.060719678,0.007056106,0.000339998
-1.539499998,0.209710672,0.00904858,0.062658639,0.007533327,0.000344416
-1.559499979,0.21413032,0.009586545,0.064662415,0.008007913,0.000349219
-1.57949996,0.219352293,0.010139943,0.066642228,0.008607121,0.000355925
-1.599499941,0.227561527,0.010719364,0.068610969,0.009326381,0.000363546
-1.619500041,0.2346754,0.011326156,0.070739619,0.01012491,0.00037371
-1.639500022,0.242750014,0.01195154,0.072819911,0.011049211,0.000376775
-1.659500003,0.24733074,0.012589529,0.074945562,0.012021031,0.000382155
-1.679499984,0.257752662,0.013246741,0.077129154,0.013207956,0.000396375
-1.699499965,0.268218226,0.013900334,0.07933601,0.014619389,0.00041109
-1.719499946,0.275638019,0.014613058,0.081623207,0.016295082,0.000419742
-1.739500046,0.286286653,0.015353865,0.083871827,0.018022806,0.000433525
-1.759500027,0.294674449,0.016093502,0.086248125,0.020064269,0.000449425
-1.779500008,0.306486545,0.01674432,0.088642222,0.022206256,0.000468755
-1.799499989,0.318002342,0.017493496,0.091058086,0.024524953,0.000497062
-1.819499969,0.331469989,0.018290935,0.093587841,0.027427263,0.000514316
-1.83949995,0.345706723,0.019109693,0.096175596,0.03029961,0.000555549
-1.859500051,0.36101603,0.019924511,0.098677508,0.033062722,0.000588632
-1.879500031,0.384139775,0.020769312,0.101431621,0.036341912,0.000619231
-1.899500012,0.411368843,0.021586091,0.104124579,0.039691105,0.00067151
-1.919499993,0.435770301,0.022459628,0.106940589,0.042923655,0.000727126
-1.939499974,0.460400138,0.023296401,0.109857618,0.047070406,0.0008014
-1.959499955,0.496853498,0.024188793,0.112784055,0.050753995,0.000845735
-1.979500055,0.542689566,0.025039244,0.115811917,0.054246293,0.000891254
-1.999500036,0.585656741,0.02593396,0.118905416,0.058389019,0.000957539
-2.019500017,0.623908976,0.026788394,0.122050997,0.062499754,0.00095322
-2.039499998,0.682457284,0.02767559,0.125400387,0.066659317,0.001014283
-2.059499979,0.734545504,0.028576438,0.128741109,0.069932581,0.001050978
-2.07949996,0.805496553,0.029475119,0.132165466,0.073723573,0.001069088
-2.099499941,0.8716314,0.030397785,0.13562744,0.07717606,0.00114269
-2.119499922,1.201944061,0.031266115,0.139241574,0.079813715,0.001221054
-2.139499903,1.51124526,0.032166305,0.14296127,0.08307962,0.001326551
-2.159499884,1.509831078,0.033137339,0.146752033,0.084923218,0.001298645
-2.179500103,1.43857516,0.034085182,0.150710689,0.087101405,0.001424806
-2.199500084,1.305857604,0.035020881,0.154729442,0.089166267,0.001462467
-2.219500065,1.489288705,0.036010762,0.158844741,0.09120788,0.001481445
-2.239500046,1.607379782,0.036952716,0.163186535,0.092489192,0.001593462
-2.259500027,1.780885273,0.037925147,0.167652312,0.093627466,0.001585921
-2.279500008,2.388209335,0.038925604,0.17220489,0.095099968,0.001714876
-2.299499989,2.251249595,0.039954364,0.176846533,0.096008005,0.00179456
-2.319499969,2.830195018,0.040964352,0.181799741,0.097017085,0.001918924
-2.33949995,3.09948338,0.042025396,0.186794979,0.098718787,0.002007461
-2.359499931,3.389374609,0.043207351,0.192123964,0.09990331,0.002099124
-2.379499912,3.685520996,0.044347896,0.197815408,0.100851124,0.002171223
-2.399499893,4.061465036,0.045479123,0.203297375,0.102103897,0.00228096
-2.419500113,5.1481174,0.046638992,0.20920071,0.104402092,0.002340505
-2.439500093,5.638920548,0.047876724,0.215420773,0.105750098,0.002407587
-2.459500074,6.260478307,0.049068478,0.221648615,0.106976834,0.002578125
-2.479500055,6.600103653,0.050366111,0.226741824,0.109066875,0.00267322
-2.499500036,7.09293974,0.05174709,0.234953386,0.11175798,0.002756199
-2.519500017,7.903113411,0.053164175,0.24207757,0.114556683,0.002757756
-2.539499998,8.256072641,0.054842259,0.249832006,0.118268195,0.002738202
-2.559499979,8.998460845,0.056281197,0.257836703,0.120695253,0.002908646
-2.57949996,10.02500153,0.057955816,0.266454001,0.124447874,0.002941996
-2.599499941,10.55015201,0.059511515,0.27509916,0.128914981,0.003117694
-2.619499922,11.62997243,0.061254563,0.284385654,0.132199024,0.00317033
-2.639499903,13.05501142,0.062957918,0.294087322,0.136653624,0.003403003
-2.659499884,14.2936512,0.065136806,0.304039131,0.141032351,0.003458537
-2.679500103,16.08607963,0.067521853,0.314852359,0.145892225,0.003620036
-2.699500084,18.13942944,0.069783662,0.325803826,0.151480928,0.00381581
-2.719500065,19.90143402,0.072994261,0.337491135,0.156295146,0.004018154
-2.739500046,22.13747987,0.075434163,0.349958729,0.162904076,0.003973094
-2.759500027,24.36893069,0.078387219,0.363050796,0.167962144,0.00425101
-2.779500008,26.81038127,0.08087873,0.376262504,0.173767111,0.004273268
-2.799499989,29.48208789,0.084317909,0.390626197,0.179403407,0.004345908
-2.819499969,32.32177316,0.087715629,0.405870028,0.185020597,0.005028499
-2.83949995,35.40769897,0.090403686,0.421528379,0.190623535,0.004788381
-2.859499931,38.63682524,0.09372573,0.438036079,0.196709377,0.004908194
-2.879499912,42.10623659,0.098050329,0.455404996,0.20360022,0.004856388
-2.899499893,46.02919818,0.101819636,0.473226469,0.208051017,0.005167875
-2.919500113,50.06646229,0.106458473,0.492109219,0.214685863,0.005079356
-2.939500093,54.36741385,0.111540959,0.51195652,0.216408206,0.005320149
-2.959500074,58.91338791,0.119769139,0.533155868,0.220151761,0.005287032
-2.979500055,63.13674721,0.120393512,0.554982815,0.225356522,0.0053419
-2.999500036,68.21776225,0.125897609,0.57786918,0.226861457,0.005691582
-3.019500017,73.86360133,0.129169149,0.602596752,0.231181196,0.005847943
-3.039499998,79.13055376,0.135974871,0.627757247,0.234426258,0.006268063
-3.059499979,85.04681505,0.141320033,0.654782182,0.237982187,0.006439702
-3.07949996,90.93185779,0.147355757,0.683432515,0.240336305,0.006845881
-3.099499941,97.21667652,0.152609835,0.713459666,0.243478647,0.007009604
-3.119499922,103.5155498,0.157828345,0.745354975,0.243165961,0.006798347
-3.139499903,110.0263335,0.166279996,0.779413919,0.244551475,0.007070425
-3.159499884,116.9075374,0.175025838,0.815276433,0.246435932,0.007445154
-3.179500103,123.8760315,0.182391397,0.853908574,0.248353088,0.008005278
-3.199500084,130.7685267,0.186775374,0.89423165,0.250092898,0.007697356
-3.219500065,138.1552694,0.201860094,0.937023969,0.248699252,0.007950359
-3.239500046,145.7492274,0.203098422,0.98167297,0.248193197,0.008015277
-3.259500027,153.030723,0.210916258,1.030534153,0.248198263,0.008125324
-3.279500008,160.9022614,0.227537753,1.08302068,0.249697771,0.008212072
-3.299499989,169.0700681,0.234072448,1.138362793,0.24978152,0.008431304
-3.319499969,177.4277261,0.239766265,1.197489665,0.248282117,0.00858614
-3.33949995,185.2197557,0.251984345,1.259766333,0.246150201,0.008420765
-3.359499931,193.3286197,0.268398417,1.32680735,0.244650497,0.008496591
-3.379499912,201.7589363,0.276284457,1.397439125,0.241782943,0.008310664
-3.399499893,210.1775844,0.286013913,1.472516579,0.238806595,0.0089049
-3.419500113,218.561304,0.293504017,1.55478995,0.237637722,0.008855186
-3.439500093,227.0087538,0.30990925,1.641463253,0.235143391,0.008494842
-3.459500074,235.6439459,0.330133272,1.733519403,0.235340443,0.008695043
-3.479500055,244.3452543,0.346774128,1.833398358,0.235932051,0.008943177
-3.499500036,252.9325872,0.370218332,1.939750884,0.234618785,0.008952875
-3.519500017,261.5419486,0.38723558,2.051494646,0.234099757,0.009117417
-3.539499998,270.3306165,0.408793314,2.172221432,0.231616235,0.009089205
-3.559499979,279.0323097,0.435158726,2.318283046,0.228699583,0.009969386
-3.57949996,287.8605396,0.470351924,2.451451504,0.225482528,0.009947846
-3.599499941,296.4800609,0.506642008,2.595544279,0.220220703,0.01050301
-3.619499922,304.9018647,0.537701389,2.753534025,0.218614069,0.009664826
-3.639499903,313.7723042,0.540488234,2.918258068,0.217168378,0.009880756
-3.659499884,322.2778193,0.575922469,3.095790894,0.218003355,0.009763335
-3.679500103,330.9744941,0.615922473,3.281806338,0.215849986,0.010273594
-3.699500084,339.539152,0.65196235,3.482104702,0.213712298,0.010469974
-3.719500065,347.976288,0.700962748,3.694115742,0.210573083,0.009946788
-3.739500046,356.389379,0.745697912,3.916717709,0.206348052,0.009997856
-3.759500027,364.6543203,0.800179038,4.154339348,0.206624584,0.010524923
-3.779500008,372.8826553,0.854801231,4.405630946,0.202541899,0.010944622
-3.799499989,381.0796179,0.926211844,4.67478126,0.199147831,0.011570179
-3.819499969,389.2758415,0.976221786,4.953988061,0.201537606,0.01175975
-3.83949995,397.3582128,1.047355734,5.257709039,0.199209015,0.011935726
-3.859499931,405.4867039,1.117973576,5.575150634,0.199583982,0.012720532
-3.879499912,413.4385362,1.197250686,5.907013192,0.194455634,0.012362787
-3.899499893,421.3384299,1.289301008,6.262120635,0.193438834,0.013168163
-3.919500113,429.2755149,1.372913465,6.637027613,0.19446049,0.012986633
-3.939500093,436.7942283,1.484044651,7.03122628,0.190459856,0.01234978
-3.959500074,444.659055,1.586362153,7.448405783,0.190616876,0.012049222
-3.979500055,452.2261048,1.78338345,7.881113747,0.188765986,0.01218718
-3.999500036,459.7184641,1.921862233,8.341041955,0.185856174,0.012720423
-4.019499779,467.0747425,2.0794944,8.831845355,0.186494008,0.01223553
-4.039500237,474.5303722,2.248952831,9.340309902,0.180620055,0.012168335
-4.059500217,481.698816,2.424234618,9.885614578,0.179846819,0.013019718
-4.079500198,488.6924174,2.612799169,10.450639,0.178061504,0.01350683
-4.099500179,495.9875518,2.819114721,11.04389745,0.179082483,0.01409948
-4.11950016,502.899166,3.050702498,11.67504971,0.176058752,0.014249102
-4.139500141,509.9069296,3.315853644,12.33662441,0.172684496,0.014163118
-4.159500122,516.5900696,3.580231983,13.02165992,0.172948385,0.014610014
-4.179500103,523.381982,3.884018454,13.74357672,0.171552679,0.015240821
-4.199500084,530.0097352,4.221647543,14.49419487,0.167324791,0.016521218
-4.219500065,536.6763423,4.592469112,15.29162319,0.168184046,0.016647015
-4.239500046,543.1468329,4.98054596,16.20133542,0.167629374,0.017017202
-4.259500027,549.6061784,5.413934871,17.0569377,0.159627805,0.015466918
-4.279500008,555.7849264,5.905490475,17.96316214,0.159887154,0.015524201
-4.299499989,562.1174273,6.440349759,18.91628036,0.156950674,0.015796457
-4.319499969,567.9392864,7.015326242,19.92625416,0.159209242,0.015470719
-4.33949995,574.0164356,7.678059311,20.95962546,0.157760695,0.016117911
-4.359499931,580.1049762,8.385417985,22.04852258,0.151752799,0.016070924
-4.379499912,585.6503017,9.16644857,23.37861967,0.153740804,0.01630037
-4.399499893,591.4705598,10.02396136,24.56532528,0.155678253,0.016622342
-4.419499874,597.1668057,10.94986605,24.99925346,0.153718014,0.016897844
-4.439499855,602.8717338,11.95448407,24.99923319,0.153079323,0.017516218
-4.459499836,608.3226647,13.07726442,24.99920787,0.153409042,0.017819378
-4.479499817,613.8333235,14.31955405,24.99935224,0.151791178,0.018093027
-4.499499798,619.2348713,15.68099891,24.99885579,0.153453494,0.01947206
