voltage,original,dark,over night
1.200000048,-19.57156504,-8.640071559,-19.07534191
1.179999948,-15.01896014,-6.605616347,-14.60435982
1.159999967,-10.82977733,-4.643299477,-10.47979908
1.139999986,-6.884159086,-2.694537764,-6.596335052
1.120000005,-3.180761935,-0.879770817,-2.950741754
1.100000024,-0.091059805,1.159919478,0.086472824
1.080000043,3.260648706,3.075671922,3.394087198
1.059999943,6.175199028,4.928937993,6.263404193
1.039999962,8.677441263,6.676338783,8.733176383
1.019999981,10.83425579,8.292522289,10.85749401
1,12.63887933,9.7572298,12.6544299
0.980000019,14.13948941,11.05678425,14.14339048
0.959999979,15.36393484,12.19694891,15.36162388
0.939999998,16.33770969,13.18217397,16.34240935
0.920000017,17.1133427,14.03079939,17.12146852
0.899999976,17.71972442,14.7533934,17.73193081
0.879999995,18.18875314,15.37162391,18.20744859
0.860000014,18.54741834,15.89766196,18.57012511
0.839999974,18.81700063,16.34372949,18.84664452
0.819999993,19.02000325,16.7218223,19.05168107
0.800000012,19.169222,17.04162804,19.20618181
0.779999971,19.29904281,17.3185107,19.32202379
0.75999999,19.38691299,17.55088301,19.41024592
0.74000001,19.43700782,17.754598,19.47944891
0.720000029,19.49216414,17.92688677,19.53319322
0.699999988,19.5351805,18.07523908,19.57533749
0.680000007,19.56945338,18.20181466,19.6101616
0.660000026,19.59599478,18.30870397,19.63640054
0.639999986,19.61739272,18.4005784,19.65739988
0.620000005,19.6353334,18.4777376,19.67296035
0.600000024,19.64860693,18.5443201,19.68652646
0.579999983,19.66004724,18.60217183,19.69711588
0.560000002,19.67019002,18.65003485,19.70658163
0.540000021,19.67720912,18.69257064,19.71509331
0.519999981,19.70119646,18.73070784,19.72242902
0.5,19.6927823,18.76436304,19.72749758
0.479999989,19.7134396,18.79194474,19.73300007
0.460000008,19.70383109,18.81963809,19.73919373
0.439999998,19.70953853,18.84312084,19.74323473
0.419999987,19.71485303,18.86569474,19.74887997
0.400000006,19.73613223,18.88718172,19.75233863
0.379999995,19.72454493,18.90639166,19.75647857
0.360000014,19.72979441,18.92582775,19.76065385
0.340000004,19.73430891,18.94271967,19.76535209
0.319999993,19.73821422,18.96015151,19.76968991
0.300000012,19.74701989,18.97497558,19.77323339
0.280000001,19.75390472,18.99026466,19.77702138
0.25999999,19.75067361,19.00422936,19.78019736
0.239999995,19.75431461,19.01602586,19.78445037
0.219999999,19.77349204,19.02976017,19.78789208
0.200000003,19.76226799,19.04044429,19.79168856
0.180000007,19.76539732,19.04968531,19.79470906
0.159999996,19.76882772,19.06102244,19.79756136
0.140000001,19.78882918,19.06996097,19.80027091
0.119999997,19.79110905,19.07792424,19.80289
0.100000001,19.77799382,19.08762745,19.80685891
0.079999998,19.78186804,19.09536316,19.80877835
0.059999999,19.78490409,19.10225505,19.81223984
0.039999999,19.78980445,19.10854058,19.81647731
0.02,19.79127725,19.11684024,19.81909357
0,19.79448149,19.12106923,19.82123068
-0.02,19.81183419,19.13030883,19.82643069
-0.039999999,19.80026243,19.13508198,19.82907098
-0.059999999,19.80355714,19.14267776,19.83214378
-0.079999998,19.80723912,19.14795834,19.83443636
-0.100000001,19.8101098,19.15170111,19.83718266
-0.119999997,19.8125409,19.15819582,19.8401127
-0.140000001,19.81504268,19.16407145,19.84362508
-0.159999996,19.81981866,19.16894072,19.84658339
-0.180000007,19.83711058,19.1728955,19.84835018
-0.200000003,19.82398404,19.1783881,19.85079259
