V,J
-0.200000003,7.974784914
-0.170200005,7.921103445
-0.140450001,7.875847952
-0.110650003,7.823233623
-0.080849998,7.781507211
-0.051050000,7.742975795
-0.021299999,7.707753736
0.008500000,7.677726035
0.038300000,7.651584628
0.068099998,7.627035258
0.097850002,7.597209293
0.127649993,7.572492881
0.157450005,7.544497309
0.187250003,7.517078673
0.216999993,7.489860489
0.246800005,7.465473663
0.276600003,7.433975352
0.306400001,7.411360455
0.336149991,7.376599688
0.365949988,7.346543076
0.395749986,7.310241669
0.425550014,7.280090615
0.455300003,7.245968462
0.485100001,7.208411029
0.514900029,7.149936101
0.544700027,7.086324636
0.574450016,7.01637586
0.604250014,6.941229513
0.634050012,6.831245945
0.663850009,6.711599648
0.693599999,6.560273222
0.723399997,6.381821768
0.753199995,6.165574526
0.782999992,5.89917361
0.812749982,5.587508849
0.842549980,5.181087027
0.872349977,4.695570888
0.902149975,4.048668548
0.931900024,3.199097862
0.961700022,3.0857378
0.991500020,1.591847499
1.021299958,-1.320093212
1.051049948,-4.981476832
1.080850005,-10.546232974
1.110649943,-18.27693055
1.140450001,-28.698481558
1.170199990,-43.487341799
1.200000048,-62.984081343
Jsc:,7.677726
Eff:,4.643911
Voc:,1.0213
FF:,0.59224
V_MPP:,0.7532
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
