V,J
1.200000048,-36.786021007
1.170199990,-25.042462231
1.140450001,-16.485483778
1.110649943,-9.663969306
1.080850005,-5.176855407
1.051049948,-2.408366866
1.021299958,-0.994504308
0.991500020,-0.032973234
0.961700022,0.605009327
0.931900024,0.967652732
0.902149975,1.169859625
0.872349977,1.293703973
0.842549980,1.366655165
0.812749982,1.415124768
0.782999992,1.445434351
0.753199995,1.46211348
0.723399997,1.472553917
0.693599999,1.483179706
0.663850009,1.485779938
0.634050012,1.496054136
0.604250014,1.500915215
0.574450016,1.502172044
0.544700027,1.508823683
0.514900029,1.506761037
0.485100001,1.513680585
0.455300003,1.517901925
0.425550014,1.517875102
0.395749986,1.521683978
0.365949988,1.513704035
0.336149991,1.519367718
0.306400001,1.513859834
0.276600003,1.516761062
0.246800005,1.522901135
0.216999993,1.522487545
0.187250003,1.521226701
0.157450005,1.52431569
0.127649993,1.554750073
0.097850002,1.549038687
0.068099998,1.528550362
0.038300000,1.559340672
0.008500000,1.556757788
-0.021299999,1.533683044
-0.051050000,1.535091978
-0.080849998,1.533967015
-0.110650003,1.529808315
-0.140450001,1.533777969
-0.170200005,1.53508748
-0.200000003,1.539642904
Jsc:,1.556758
Eff:,1.151475
Voc:,0.9915
FF:,0.746003
V_MPP:,0.84255
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
