V,J
-0.200000003,19.864771293
-0.170200005,19.844926721
-0.140450001,19.830494305
-0.110650003,19.819889717
-0.080849998,19.806514805
-0.051050000,19.79471137
-0.021299999,19.784136336
0.008500000,19.773688511
0.038300000,19.760980481
0.068099998,19.748679775
0.097850002,19.735406373
0.127649993,19.7235721
0.157450005,19.71065334
0.187250003,19.696095
0.216999993,19.683254622
0.246800005,19.669352885
0.276600003,19.654617223
0.306400001,19.638928139
0.336149991,19.623869958
0.365949988,19.60599648
0.395749986,19.587023095
0.425550014,19.56468703
0.455300003,19.540349032
0.485100001,19.512011024
0.514900029,19.477817557
0.544700027,19.437046495
0.574450016,19.386499631
0.604250014,19.322622826
0.634050012,19.2459776
0.663850009,19.15012256
0.693599999,19.031563963
0.723399997,18.886552361
0.753199995,18.711062045
0.782999992,18.495064081
0.812749982,18.225927533
0.842549980,17.890095028
0.872349977,17.452203806
0.902149975,16.856400212
0.931900024,15.999648975
0.961700022,14.702688489
0.991500020,12.718100218
1.021299958,9.749254451
1.051049948,5.513466262
1.080850005,0.81284276
1.110649943,-6.949818677
1.140450001,-16.279332288
1.170199990,-27.06277176
1.200000048,-39.641496111
Jsc:,19.773689
Eff:,15.22443
Voc:,1.08085
FF:,0.712341
V_MPP:,0.87235
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
