V,J
1.200000048,-38.615309183
1.170199990,-26.008146599
1.140450001,-16.780416728
1.110649943,-9.013911803
1.080850005,-3.716156964
1.051049948,-0.713390538
1.021299958,1.733765132
0.991500020,3.088279727
0.961700022,3.898501135
0.931900024,4.383271368
0.902149975,4.678312573
0.872349977,4.878172689
0.842549980,4.996809667
0.812749982,5.077164508
0.782999992,5.129881953
0.753199995,5.168447741
0.723399997,5.201715411
0.693599999,5.224532364
0.663850009,5.248728055
0.634050012,5.267917309
0.604250014,5.286442893
0.574450016,5.298583623
0.544700027,5.309597785
0.514900029,5.317204935
0.485100001,5.320477349
0.455300003,5.328927418
0.425550014,5.333728265
0.395749986,5.337913628
0.365949988,5.33993387
0.336149991,5.342602364
0.306400001,5.347744362
0.276600003,5.349951242
0.246800005,5.350030587
0.216999993,5.353181895
0.187250003,5.354977595
0.157450005,5.360994957
0.127649993,5.362678867
0.097850002,5.366634547
0.068099998,5.369534008
0.038300000,5.37482024
0.008500000,5.376944241
-0.021299999,5.382558132
-0.051050000,5.384105197
-0.080849998,5.389406206
-0.110650003,5.394903168
-0.140450001,5.398673816
-0.170200005,5.402863355
-0.200000003,5.409359998
Jsc:,5.376944
Eff:,4.255474
Voc:,1.05105
FF:,0.75299
V_MPP:,0.87235
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
