V,J
1.200000048,-39.794013032
1.170199990,-25.981568955
1.140450001,-15.706847736
1.110649943,-6.47829165
1.080850005,-1.077815228
1.051049948,4.341160117
1.021299958,7.787673625
0.991500020,9.949574896
0.961700022,11.316634495
0.931900024,12.148177831
0.902149975,12.662156617
0.872349977,12.988938023
0.842549980,13.185622094
0.812749982,13.317624991
0.782999992,13.403104162
0.753199995,13.469329832
0.723399997,13.517602357
0.693599999,13.558897673
0.663850009,13.592094029
0.634050012,13.615871794
0.604250014,13.645639937
0.574450016,13.663888617
0.544700027,13.678594725
0.514900029,13.7029944
0.485100001,13.714328832
0.455300003,13.71815923
0.425550014,13.732860198
0.395749986,13.73547633
0.365949988,13.741209721
0.336149991,13.756420809
0.306400001,13.755027937
0.276600003,13.768851292
0.246800005,13.768325753
0.216999993,13.78119954
0.187250003,13.781451388
0.157450005,13.796342527
0.127649993,13.800982435
0.097850002,13.808387529
0.068099998,13.819408436
0.038300000,13.818164617
0.008500000,13.833109723
-0.021299999,13.835163053
-0.051050000,13.852929881
-0.080849998,13.861337226
-0.110650003,13.872042039
-0.140450001,13.874034977
-0.170200005,13.884399282
-0.200000003,13.894754591
Jsc:,13.83311
Eff:,11.423164
Voc:,1.08085
FF:,0.764014
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
