V,J
-0.200000003,15.058830713
-0.170200005,14.791881129
-0.140450001,14.615030065
-0.110650003,14.486711084
-0.080849998,14.26024345
-0.051050000,14.143762596
-0.021299999,14.063271552
0.008500000,14.028282709
0.038300000,13.992021777
0.068099998,13.956683431
0.097850002,13.922854886
0.127649993,13.886781555
0.157450005,13.851385387
0.187250003,13.815279933
0.216999993,13.7850929
0.246800005,13.748409224
0.276600003,13.700054463
0.306400001,13.659576367
0.336149991,13.620844501
0.365949988,13.57977405
0.395749986,13.542207622
0.425550014,13.495838089
0.455300003,13.44383796
0.485100001,13.39349797
0.514900029,13.323064131
0.544700027,13.2469226
0.574450016,13.150025476
0.604250014,13.043036454
0.634050012,12.898901179
0.663850009,12.730278854
0.693599999,12.529449574
0.723399997,12.280563639
0.753199995,11.980941953
0.782999992,11.590229775
0.812749982,11.164946358
0.842549980,10.62282873
0.872349977,9.960918965
0.902149975,9.103419894
0.931900024,7.979865556
0.961700022,6.421922092
0.991500020,4.18784268
1.021299958,2.792654839
1.051049948,-2.663442826
1.080850005,-9.44554024
1.110649943,-18.612134721
1.140450001,-30.561406823
1.170199990,-47.299421904
1.200000048,-68.812253813
Jsc:,14.028283
Eff:,9.07515
Voc:,1.05105
FF:,0.615497
V_MPP:,0.783
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
