V,J
1.200000048,-39.239166814
1.170199990,-25.771008846
1.140450001,-15.779964525
1.110649943,-6.933214717
1.080850005,-1.376732928
1.051049948,3.444384367
1.021299958,6.536472328
0.991500020,8.47066086
0.961700022,9.682905427
0.931900024,10.431746985
0.902149975,10.888553769
0.872349977,11.177542599
0.842549980,11.353207666
0.812749982,11.473968646
0.782999992,11.558143605
0.753199995,11.61790347
0.723399997,11.655932475
0.693599999,11.699897891
0.663850009,11.733591517
0.634050012,11.758473044
0.604250014,11.785758688
0.574450016,11.80519208
0.544700027,11.82016417
0.514900029,11.835566714
0.485100001,11.848310722
0.455300003,11.85573252
0.425550014,11.863128619
0.395749986,11.870418069
0.365949988,11.879580957
0.336149991,11.884295392
0.306400001,11.890430968
0.276600003,11.897092083
0.246800005,11.903370287
0.216999993,11.907257222
0.187250003,11.912686082
0.157450005,11.920980353
0.127649993,11.925553445
0.097850002,11.93570188
0.068099998,11.940101505
0.038300000,11.948546113
0.008500000,11.95332608
-0.021299999,11.962104772
-0.051050000,11.972999755
-0.080849998,11.981589561
-0.110650003,11.986878363
-0.140450001,11.998332295
-0.170200005,12.008812244
-0.200000003,12.016897069
Jsc:,11.953326
Eff:,9.823109
Voc:,1.08085
FF:,0.760317
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
