V,J
1.200000048,-38.566887605
1.170199990,-25.285451589
1.140450001,-15.421657182
1.110649943,-6.709053545
1.080850005,-1.235159658
1.051049948,3.514806964
1.021299958,6.561544667
0.991500020,8.48593491
0.961700022,9.68730441
0.931900024,10.440383049
0.902149975,10.912133654
0.872349977,11.201969257
0.842549980,11.376598665
0.812749982,11.499397555
0.782999992,11.577209505
0.753199995,11.644880729
0.723399997,11.684098302
0.693599999,11.726064355
0.663850009,11.757961639
0.634050012,11.787128431
0.604250014,11.813071316
0.574450016,11.833770371
0.544700027,11.850878027
0.514900029,11.864878704
0.485100001,11.876154029
0.455300003,11.887467902
0.425550014,11.890649407
0.395749986,11.904963609
0.365949988,11.910058385
0.336149991,11.915724959
0.306400001,11.918815233
0.276600003,11.925940211
0.246800005,11.93313329
0.216999993,11.937861859
0.187250003,11.944183751
0.157450005,11.950984924
0.127649993,11.954745936
0.097850002,11.957951854
0.068099998,11.967204688
0.038300000,11.971423137
0.008500000,11.983203443
-0.021299999,11.989132143
-0.051050000,12.000029697
-0.080849998,12.002798737
-0.110650003,12.017403335
-0.140450001,12.025323688
-0.170200005,12.037612829
-0.200000003,12.044236681
Jsc:,11.983203
Eff:,9.844381
Voc:,1.08085
FF:,0.760064
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
