V,J
-0.200000003,20.294360535
-0.170200005,20.281270878
-0.140450001,20.273511142
-0.110650003,20.266315493
-0.080849998,20.259284316
-0.051050000,20.251072281
-0.021299999,20.244591057
0.008500000,20.236928976
0.038300000,20.229128122
0.068099998,20.221278439
0.097850002,20.211363863
0.127649993,20.202879422
0.157450005,20.194466937
0.187250003,20.184426437
0.216999993,20.174794547
0.246800005,20.164101298
0.276600003,20.153772972
0.306400001,20.143215927
0.336149991,20.13063639
0.365949988,20.116535488
0.395749986,20.103020517
0.425550014,20.085152179
0.455300003,20.063575511
0.485100001,20.038832758
0.514900029,20.006421499
0.544700027,19.966973923
0.574450016,19.915764031
0.604250014,19.84648792
0.634050012,19.75782082
0.663850009,19.642038972
0.693599999,19.494361125
0.723399997,19.302543111
0.753199995,19.063598735
0.782999992,18.762873288
0.812749982,18.388285789
0.842549980,17.916524904
0.872349977,17.315460776
0.902149975,16.527471675
0.931900024,15.468903042
0.961700022,13.985304125
0.991500020,11.860996908
1.021299958,8.810507509
1.051049948,4.534077395
1.080850005,0.740049535
1.110649943,-7.63533531
1.140450001,-17.754103686
1.170199990,-29.41007728
1.200000048,-43.935276091
Jsc:,20.236929
Eff:,15.105142
Voc:,1.08085
FF:,0.690581
V_MPP:,0.87235
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
