V,J
-0.200000003,7.33185817
-0.170200005,7.311145623
-0.140450001,7.298936791
-0.110650003,7.284434988
-0.080849998,7.269790557
-0.051050000,7.257683878
-0.021299999,7.243288083
0.008500000,7.237914475
0.038300000,7.224538277
0.068099998,7.211065067
0.097850002,7.196067278
0.127649993,7.181427987
0.157450005,7.171704867
0.187250003,7.159940623
0.216999993,7.149416344
0.246800005,7.136743649
0.276600003,7.119289061
0.306400001,7.108653634
0.336149991,7.091919253
0.365949988,7.077861396
0.395749986,7.069105833
0.425550014,7.048550691
0.455300003,7.036330937
0.485100001,7.024442697
0.514900029,7.009033086
0.544700027,6.993690934
0.574450016,6.977224462
0.604250014,6.958545971
0.634050012,6.932464956
0.663850009,6.90889535
0.693599999,6.872538691
0.723399997,6.828465983
0.753199995,6.779573475
0.782999992,6.722314741
0.812749982,6.643774874
0.842549980,6.542516673
0.872349977,6.43114987
0.902149975,6.292674744
0.931900024,6.117249318
0.961700022,5.889104198
0.991500020,5.558987095
1.021299958,5.065267916
1.051049948,4.225980262
1.080850005,2.749885379
1.110649943,0.543176778
1.140450001,-4.064639034
1.170199990,-11.373974823
1.200000048,-21.917499791
Jsc:,7.237914
Eff:,5.700665
Voc:,1.11065
FF:,0.709145
V_MPP:,0.9319
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
