V,J
1.200000048,-29.313999946
1.170199990,-16.097707682
1.140450001,-6.346372917
1.110649943,-0.944763742
1.080850005,3.15030301
1.051049948,5.509696899
1.021299958,6.992954023
0.991500020,8.00284409
0.961700022,8.773909924
0.931900024,9.371968583
0.902149975,9.87470224
0.872349977,10.317257784
0.842549980,10.709959045
0.812749982,11.046691006
0.782999992,11.352237538
0.753199995,11.65644388
0.723399997,11.923676151
0.693599999,12.186480528
0.663850009,12.432483064
0.634050012,12.664621126
0.604250014,12.896752764
0.574450016,13.124177676
0.544700027,13.346552785
0.514900029,13.554297597
0.485100001,13.758056534
0.455300003,13.95362014
0.425550014,14.146831026
0.395749986,14.340409405
0.365949988,14.527722428
0.336149991,14.712167472
0.306400001,14.900359393
0.276600003,15.076267313
0.246800005,15.256932071
0.216999993,15.444165429
0.187250003,15.623068538
0.157450005,15.80671692
0.127649993,15.988976286
0.097850002,16.174376038
0.068099998,16.36131129
0.038300000,16.553058632
0.008500000,16.748141672
-0.021299999,16.948361891
-0.051050000,17.152921344
-0.080849998,17.366086022
-0.110650003,17.587728716
-0.140450001,17.814913345
-0.170200005,18.050631243
-0.200000003,18.299873106
Jsc:,16.748142
Eff:,9.023676
Voc:,1.11065
FF:,0.485109
V_MPP:,0.84255
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
