V,J
1.200000048,-39.916747675
1.170199990,-26.295723283
1.140450001,-16.200338196
1.110649943,-7.226342329
1.080850005,-1.598717095
1.051049948,3.301188382
1.021299958,6.441568784
0.991500020,8.403804286
0.961700022,9.621488636
0.931900024,10.375823943
0.902149975,10.834702046
0.872349977,11.121004072
0.842549980,11.291002565
0.812749982,11.415969145
0.782999992,11.501188758
0.753199995,11.563249946
0.723399997,11.615839861
0.693599999,11.653852162
0.663850009,11.683872153
0.634050012,11.711881216
0.604250014,11.740089446
0.574450016,11.755860766
0.544700027,11.77578115
0.514900029,11.787718217
0.485100001,11.798632475
0.455300003,11.811188883
0.425550014,11.818086426
0.395749986,11.826053038
0.365949988,11.82979606
0.336149991,11.835012906
0.306400001,11.841003283
0.276600003,11.843726066
0.246800005,11.853645782
0.216999993,11.858628769
0.187250003,11.863575777
0.157450005,11.868405857
0.127649993,11.873744771
0.097850002,11.881716523
0.068099998,11.888525406
0.038300000,11.89540496
0.008500000,11.904204211
-0.021299999,11.912305741
-0.051050000,11.919541223
-0.080849998,11.927839348
-0.110650003,11.941525215
-0.140450001,11.947135252
-0.170200005,11.957252848
-0.200000003,11.967830452
Jsc:,11.904204
Eff:,9.774526
Voc:,1.08085
FF:,0.759679
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
