V,J
-0.200000003,22.154023345
-0.170200005,22.143736136
-0.140450001,22.1366844
-0.110650003,22.131190008
-0.080849998,22.123678265
-0.051050000,22.118350914
-0.021299999,22.11291306
0.008500000,22.107313303
0.038300000,22.100456877
0.068099998,22.093788052
0.097850002,22.086538436
0.127649993,22.079720559
0.157450005,22.073280453
0.187250003,22.066948282
0.216999993,22.05981431
0.246800005,22.052377092
0.276600003,22.043526444
0.306400001,22.034128412
0.336149991,22.024861444
0.365949988,22.012998903
0.395749986,22.000506742
0.425550014,21.985442137
0.455300003,21.968537502
0.485100001,21.947993924
0.514900029,21.924091519
0.544700027,21.891518358
0.574450016,21.850731878
0.604250014,21.798763872
0.634050012,21.731672155
0.663850009,21.647932789
0.693599999,21.540532588
0.723399997,21.403555699
0.753199995,21.230822859
0.782999992,21.016154804
0.812749982,20.742305106
0.842549980,20.396371709
0.872349977,19.943744826
0.902149975,19.326390263
0.931900024,18.446571831
0.961700022,17.126096992
0.991500020,15.1284075
1.021299958,12.180523558
1.051049948,8.029744896
1.080850005,2.479031031
1.110649943,-4.616578402
1.140450001,-13.336725584
1.170199990,-23.55400625
1.200000048,-35.556883368
Jsc:,22.107313
Eff:,17.435302
Voc:,1.08085
FF:,0.729673
V_MPP:,0.90215
,0.0
,0.0
,0.0
Cell Area:,0.0453
Voltage:,0.7
Number of suns:,1.0
